Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature1869,1,0.112971796840772,0.00425679892048095,0.00114932449530976
Feature1870,1,0.0162558257075507,0.0251832379608756,0.000558776758018997
Feature1871,1,0.0401800170370793,0.01079015714003,1
Feature1872,1,0.597091663776288,0.514203993590598,0.0172704692853876
Feature1875,0.897602317354677,0.0348721780346828,0.599309494363284,0.0117532529087404
Feature1880,1,0.00377747092348242,0.160963035398329,0.00184446718111698
Feature1881,0.483401288383235,0.848857748862922,0.784161595587066,0.264996450764535
Feature1883,1,0.230345997896059,0.0941473213386072,0.128063753064457
Feature1889,0.506844153634314,0.599569361636085,0.0782584717987083,0.281619024314411
Feature1891,1,0.122125853035033,0.108252594390927,0.602430795985669
Feature1893,0.91063445903084,0.564769866719456,0.893489177874838,0.748358019783052
Feature1894,1,0.0696102411768432,0.000741182989428551,0.00259052959925219
Feature1896,0.293014795460312,0.0200495433673244,0.0774442860670523,0.0168473595705516
Feature1897,1,1,0.0356639973604672,1
Feature1899,0.805980107034517,0.0228892450994452,0.0206762711636043,0.0193643138756644
