Feature,Sample1,Sample2,Sample3,Sample5,Sample6,Sample7,Sample8,Sample9,Sample11,Sample12,Sample13,Sample14,Sample15,Sample17,Sample18,Sample19,Sample20,Sample21,Sample23,Sample24,Sample25,Sample26,Sample27,Sample29,Sample30,Sample49,Sample50,Sample51,Sample52,Sample54
Feature257,2976.359,3246.8962,3354.4963,0,1741.7489,2432.9417,0,2033.9095,3111.6882,0,0,0,0,0,0,2261.6458,2835.725,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature262,14218.286,6506.813,34721.023,11118.125,34452.82,27760.406,10855.742,18709.516,26783.236,8774.604,2934.599,4783.468,2270.9119,8249.399,9053.014,4401.7046,3040.2944,3470.7483,1477.4653,5596.831,13682.147,6003.5186,3268.9265,5916.3145,1909.3691,0,0,0,0,0
Feature263,8199.252,4645.1646,6844.9507,5632.736,3599.0388,0,0,0,8957.629,0,3537.4104,2979.7505,2193.9395,6575.6855,8899.178,1835.478,2892.8755,2226.5396,1920.4479,1727.3795,0,4312.517,1541.0045,3359.302,1142.4186,0,0,0,0,0
Feature264,16583.541,0,83744.34,8925.992,62490.457,71286,17967.432,47181.91,57489.55,13841.766,0,8985.444,0,11490.441,6474.7144,4535.1475,0,0,0,6477.927,17578.914,3779.5352,0,5434.152,0,0,0,0,0,0
Feature268,42881.707,24556.498,28891.95,41663.055,18799.854,21626.312,16180.454,30505.428,23512.797,14316.7295,26902.305,15207.257,23742.213,32754.697,29820.598,15362.547,11010.21,15498.924,6672.2485,13959.919,19860.053,16221.082,13790.015,17907.873,15413.296,0,0,0,0,0
Feature269,5093.69,1196.2437,23310.082,1764.5295,47720.89,21988.93,4011.9995,19488.691,11724.427,575.76434,0,1581.4274,0,1153.1276,0,535.3705,0,0,0,0,1534.808,547.9239,607.9998,0,0,0,0,0,0,0
Feature270,3016.1965,2431.2551,0,3053.1606,0,0,0,0,4896.0654,1089.5801,1395.3943,1655.7397,1606.6398,0,1186.25,1902.8402,2587.1018,1147.6995,3450.367,1885.4973,5810.489,0,0,0,0,0,0,0,0,0
Feature271,12450.022,4392.316,40013.734,10381.967,28288.746,14223.416,5872.8833,19044.932,19442.863,2900.0635,3656.0461,5372.365,4293.069,10898.279,5026.015,4177.1104,4455.742,3027.192,3146.0522,1265.5155,10397.78,6300.1787,4255.9106,4662.425,3786.076,0,0,0,0,0
Feature272,44147.02,19525.197,133102.16,34702.402,69483.06,58237.695,18766.883,58290.605,86261.26,12331.608,18081.9,18708.297,19764.225,28373.232,16109.505,15517.037,20194.426,11383.215,16509.766,5138.37,34979.543,18485.908,18585.562,26562.059,13657.627,0,0,0,0,0
Feature273,2131.438,1284.3204,1783.2107,1919.0521,1730.1001,2187.5994,1677.2332,1427.8839,1372.1897,1353.8878,1188.0393,1111.6832,850.2945,1477.2078,1096.37,2289.9116,2023.0227,2789.7915,1794.152,2168.0725,1504.0894,1117.8451,1011.312,977.19385,1693.1321,0,0,0,0,0
Feature274,4647.0986,0,4459.123,5982.7075,4569.8022,5125.864,3443.0227,6353.9995,0,3362.5044,3616.4849,4068.6858,4443.6094,3567.3767,0,7334.682,7528.049,12547.853,7385.4453,8499.353,5798.06,5840.4707,4045.4724,4058.006,5931.492,0,0,0,0,0
Feature275,6510.6533,0,0,0,1228.3623,3344.1099,5685.1724,1181.5088,1144.4945,724.65796,422.63052,2005.6577,381.9607,557.4752,1370.644,2798.863,0,0,1226.0413,382.48526,463.95172,383.40054,0,0,1509.793,0,0,0,0,0
Feature276,1652.5276,1421.0621,1474.7363,1255.6735,1141.7184,0,0,0,644.0296,659.91815,0,0,520.3784,0,0,0,0,0,0,0,0,0,0,700.38574,0,0,0,0,0,0
Feature278,15277.942,10489.858,20489.826,16694.773,9481.833,32871.938,10826.95,12526.217,47876.934,4703.375,4767.998,15831.9795,2903.129,7948.6953,9166.309,4300.3296,9106.324,4663.851,4259.6733,1654.0906,2412.138,0,4528.235,6202.0015,497.4633,0,0,544.79126,0,0
Feature279,4405.4976,0,0,0,0,2024.1361,3321.458,0,0,0,0,1323.7357,0,0,0,1854.5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature280,92721.18,74822.51,105182.78,107036.78,59715.93,90931.07,60000.746,106398.55,86733.75,46403.223,50046.09,53071.082,52755.8,73867.17,56112.082,55792.465,45069.566,58025.855,32834.992,42584.477,50613.31,58560.746,53211.652,63234.64,45475.97,0,0,0,0,0
Feature281,686.5783,1069.0162,854.4108,1000.97314,793.9682,0,0,0,0,0,0,0,0,0,551.415,3181.1301,5921.547,2502.056,3774.9717,4116.9316,2422.1504,1016.2187,0,0,2425.3875,0,0,0,0,0
Feature284,5637.7793,3514.506,5439.49,4873.989,3334.6445,4163.643,2696.102,3535.394,4241.516,2860.6567,3677.2136,3651.9697,3748.93,4968.9033,5016.253,2690.8496,2964.444,2473.043,1664.6216,2020.4447,3218.5571,2638.0488,2630.5815,2354.1008,2715.2417,1998.8188,0,0,0,0
Feature285,2903.4868,779.56714,1206.5095,0,1097.0204,993.5615,0,0,945.13617,440.2943,0,0,0,0,779.851,677.3118,775.9264,627.79315,616.70685,962.4014,1126.9073,922.7695,0,449.70966,1417.0865,0,0,0,0,0
Feature286,1295.9092,936.0116,2176.0994,1880.5365,815.946,904.079,0,931.28253,1036.3596,594.12115,1464.68,1223.0322,2610.5256,2639.5034,2303.9263,1249.3818,4784.7485,2197.5994,2603.324,1478.8433,1635.7235,1977.0714,1225.3137,1236.7914,1321.0425,0,0,0,0,0
Feature288,0,4802.754,1445.3384,1521.3485,0,0,0,0,0,0,0,1168.2511,0,1300.8455,0,0,3026.3303,2651.7297,0,0,0,0,0,0,0,0,0,0,0,0
Feature290,1094.294,2026.8743,0,0,1516.515,798.2068,1099.6838,0,1311.505,2380.7512,2465.508,1600.6642,3216.1594,1341.5366,1630.9712,1820.6766,2274.8013,2042.688,2215.6226,2705.6582,0,2141.7493,2271.4243,0,0,0,0,0,0,0
Feature291,4838.4307,11024.455,4655.3813,8706.9375,0,2763.0015,0,5927.989,3903.4004,7748.5386,9154.107,6528.1934,13993.482,0,5984.5396,0,0,9648.427,9427.468,0,0,9544.417,6809.286,9935.564,0,0,0,0,0,0
Feature292,0,0,0,0,5259.133,0,3373.6897,0,0,0,0,0,0,5089.0166,0,8320.384,9910.725,0,0,12771.875,4646.6353,0,0,0,8267.993,0,0,0,0,0
Feature293,9822.882,6971.072,6954.0923,10835.032,0,4394.716,1831.1481,0,0,2049.9766,4456.553,0,4476.5,0,3800.5747,6366.013,4312.1733,0,0,0,0,0,3457.1223,3271.897,0,0,0,0,0,0
Feature294,0,0,0,0,2795.804,0,0,2645.4539,3105.2117,0,0,2749.166,0,4318.488,0,0,0,4944.1353,3114.4636,4537.7383,1649.1748,3090.2651,0,0,2778.7434,0,0,0,0,0
Feature303,3194.6326,2375.9888,0,2921.5535,4797.1606,3870.519,3983.7341,0,0,0,807.19025,3882.4888,1273.6079,0,0,6251.3184,5859.2227,5624.3345,3514.928,3272.2708,1316.0643,987.94415,0,0,1704.0782,0,0,0,0,3598.7776
Feature309,622.67236,0,1282.1975,660.49036,809.8204,1870.4181,830.33875,880.9305,1064.0859,0,0,0,0,366.77548,0,0,0,0,0,0,465.43015,0,0,0,0,0,0,0,0,0
Feature311,11302.433,0,0,14429.916,0,0,0,0,0,7455.3203,1860.0784,6849.481,0,19739.443,12060.139,10769.832,13856.539,18225.227,0,8104.8906,0,0,0,0,5623.0713,0,0,0,0,0
Feature318,4511.759,2779.464,6008.9077,4103.986,0,0,0,4988.575,4981.0117,2937.2783,0,0,1359.1387,0,0,0,0,0,3610.2693,2742.2126,0,1148.7562,6176.1206,5427.9253,2997.3687,0,0,0,0,0
Feature319,5369.3853,0,6421.6074,5056.0312,0,0,0,0,9149.48,0,4128.642,0,0,12295.92,17889.312,4800.5986,0,4686.824,0,0,0,0,0,0,0,0,0,0,0,0
Feature320,0,0,0,0,0,8642.177,3764.451,7912.441,0,4408.9863,0,4293.1377,4750.831,0,0,0,0,0,0,2962.5483,2164.8225,11073.118,4406.2812,6783.8086,0,0,0,0,0,0
Feature321,3830.1035,1622.7677,0,2148.5342,0,0,0,2133.3066,2083.3696,2575.7217,0,0,2377.0193,0,2231.5608,2348.228,2478.9036,2240.9812,2471.2263,0,2303.2556,0,1610.314,0,0,1552.7654,0,0,0,0
Feature324,11739.078,3621.9668,3972.939,8779.354,4520.781,4157.929,7153.237,7672.8857,7719.7754,3464.8037,8894.682,8930.61,10408.658,10555.89,4956.6763,10991.194,6599.369,13809.988,7828.2754,5475.6245,9936.183,9024.537,11397.586,10038.995,9858.508,4751.096,3470.2407,2367.2163,2744.6301,2928.171
Feature328,0,0,0,2887.5725,3309.7153,0,0,2291.3457,0,2763.984,0,2317.839,0,0,2905.1963,0,0,0,0,0,3423.7056,3031.6304,2869.0269,0,3212.822,0,0,0,0,0
Feature329,5932.225,3169.556,4130.7773,7491.2124,4086.0007,0,2204.4688,5162.858,4832.6206,3828.481,0,3919.2432,0,11038.9375,6472.8447,6237.9,7497.7974,9933.597,4173.4995,5033.155,0,0,6048.7407,6908.4067,4116.4697,0,0,0,0,0
Feature331,3755.371,3649.717,4248.465,5094.5923,5780.864,4256.1294,3456.7522,3965.367,4466.734,4847.75,3691.018,3699.416,4159.357,4613.095,4380.9443,4897.5806,5578.3306,5964.0244,4971.4463,5537.3525,4825.4956,4056.2717,4226.968,4600.743,5671.3574,4737.0854,4727.2236,3678.5708,3776.5674,5169.359
Feature335,5780.8,9387.5625,5674.17,6490.257,7441.8735,7322.2783,8713.557,7602.761,7113.962,8350.32,9335.048,9654.133,9345.398,6670.5083,7292.509,8375.294,9656.013,7628.224,12963.542,9264.708,7734.983,11042.326,10983.778,8823.689,8262.795,0,0,0,0,0
Feature336,10692.072,13983.485,9847.005,11810.026,6989.9653,7865.29,5661.394,0,5629.2124,6079.048,10828.219,10332.39,0,8064.021,7866.6104,13173.756,11188.338,12195.939,12885.791,9026.205,9699.001,0,11193.725,12320.462,10038.49,0,0,0,0,0
Feature347,3401.6301,1947.6038,2065.9512,2446.6326,3993.708,1885.3729,4041.7285,3649.1877,4024.1704,1945.2246,3489.6948,4188.926,4318.7227,2961.62,2174.399,3403.7622,2853.2495,3349.254,2498.9443,2593.5962,3554.9353,2599.4065,2556.2622,2871.3716,2822.0266,2524.7583,1832.2292,1329.4923,3164.4324,2045.351
Feature348,0,0,0,0,0,0,0,0,0,0,0,0,919.4758,0,0,2743.3833,2801.7607,2617.3704,2581.0195,2751.6,2371.7063,0,1866.0243,0,3002.1182,0,0,0,0,0
Feature349,0,0,4972.002,2183.6206,6063.518,14941.704,0,4013.89,11186.791,0,0,0,0,0,0,0,0,0,0,0,0,1026.8302,0,0,0,0,0,0,0,0
Feature350,0,704.0894,861.2838,1970.7549,0,0,0,0,1203.2147,1450.9844,843.1617,0,992.0825,0,1434.5046,1234.3893,1329.594,1842.7905,2343.0542,2976.6235,2085.917,1064.0929,1003.675,0,2730.7483,0,0,0,0,1637.2085
Feature355,0,0,0,0,0,0,5937.584,0,0,8377.987,7721.8574,7216.5176,0,9960.243,10565.297,0,0,0,0,0,0,0,0,7986.2627,0,4165.5415,0,0,0,0
Feature356,6796.5566,9645.503,8627.763,11080.147,9982.55,9325.602,0,7948.682,13325.348,0,0,0,5653.399,0,0,24397.922,27960.64,36337.215,26882.29,34200.375,24432.254,10130.474,13109.739,0,22808.352,0,2865.0823,2032.1967,1998.4333,3684.7664
Feature358,2026.5966,1693.6422,0,2399.169,0,1598.1738,0,1987.7418,1693.5944,0,3415.6873,2277.03,2683.0562,0,1718.2865,1739.8025,2833.8904,1624.3833,2170.2903,0,1134.866,0,763.0909,0,0,0,0,0,0,0
Feature360,1124.6261,0,12335.912,2798.5283,24953.969,20804.186,8169.7554,12113.64,25481.432,8536.296,0,12555.98,0,0,6314.567,0,0,0,0,0,9568.468,0,0,0,0,0,0,0,0,0
