ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,Kingdom,Phylum,Class,Order,Family,Genus,Hv_WT_HvSC_only_endo_1,Hv_WT_HvSC_only_endo_2,Hv_WT_HvSC_only_endo_3,Hv_WT_HvSC_only_endo_4,Hv_WT_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_1,Hv_symrk_HvSC_only_endo_2,Hv_symrk_HvSC_only_endo_3,Hv_symrk_HvSC_only_endo_4,Hv_symrk_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_6,Hv_ccamk_HvSC_only_endo_1,Hv_ccamk_HvSC_only_endo_2,Hv_ccamk_HvSC_only_endo_3,Hv_ccamk_HvSC_only_endo_4,Hv_ccamk_HvSC_only_endo_5,Hv_ccamk_HvSC_only_endo_6,Hv_nsp1_HvSC_only_endo_1,Hv_nsp1_HvSC_only_endo_2,Hv_nsp1_HvSC_only_endo_3,Hv_nsp1_HvSC_only_endo_4,Hv_nsp1_HvSC_only_endo_5,Hv_nsp1_HvSC_only_endo_6,Hv_nsp2_HvSC_only_endo_1,Hv_nsp2_HvSC_only_endo_2,Hv_nsp2_HvSC_only_endo_3,Hv_nsp2_HvSC_only_endo_4,Hv_nsp2_HvSC_only_endo_5,Hv_nsp2_HvSC_only_endo_6
P4_D7,0.264840474072252,1.31478813229621,-0.491895243551711,0.314243425725074,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.00162892357421465,0.00125568984460838,0.000863834143844382,0.000235049192438132,0.00379896298577956,0.000619897541462958,0.000910845568302574,0.00105115627189909,0.00112271988799218,0.00810346599333519,0.000962828506037408,0.0012796715041062,0.00891261459904839,0.0106705685021948,0.00240391182014369,0.00114324268605806,0.00122381188263061,0.000419766330076258,0.000382663671907495,0.000603891746812794,0.00297896371593957,0.00202824957684002,0.000381319815172043,0.000764728374363952,0.00364583333333333,0.000289033003956139,0.00623570050693105,0.00136551109129417,0.000930607686819493
P4_D8,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94126297832289e-05,0,5.41936882417761e-05,0,0,0
P4_E10,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_E4,-0.0656356215198095,-0.0398039983060303,0.115807044885309,0.38488222282447,0,0,0,0,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,6.99928098295357e-05,0,0,0,0,0,0,6.25688257082791e-05,0,0,0,0,6.96298015550656e-05,0,0,0,0,0,0.000133100407619998,0,0,0,0,8.82378893496868e-05,0,0.00014451650197807,0,0,0
P4_E5,0.0802099552504605,-0.876402795886443,-0.680080709684902,-0.102611677966579,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0.00571395847517482,0.00926071260398681,0.00774251343742002,0.00950270306571304,0.00441501103752759,0.0108306627055604,0.00392531066339919,0.00808389228150966,0.00603627045661678,0.00985040884334767,0.00825507063373057,0.00195466306671167,0.00355111987930834,0.00658434745369544,0.00685661212336438,0.00335476132466218,0.00300125295026079,0.00492059420256058,0.00545711671241993,0.00424960858868262,0.0036284060426373,0.00415864121870075,0.00414965681216635,0.00526486073119798,0.00514322916666667,0.010892931336597,0.00457583778206451,0.0094192397726006,0.00620405124546329
P4_E7,,,,,,,,,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_F10,0.212769606439875,-1.04939943437486,0.178410760549153,1.32748021269888,0,0,0,0,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,0.00106261811286659,0.00551326322398368,0.00447914000511902,0.000705147577314395,0.000872734739976385,0.0031345762473976,0.000932532367547874,0.00548102913204525,0.00186239416713997,0.00204054669035071,0.00112066924473207,0.000801552480593993,0.00417778809330393,0.000553156561150566,0.000655612314584642,0.000506025451206027,0.000582767563157435,0.00116601758354516,0.00560685467099243,0.00163274435249385,0.00415078356628547,0.000875503414463316,0.00152527926068817,0.00817671107973764,0.00201822916666667,0.00805679498527738,0.00260194697411511,0.00886188830676625,0.00229549896082142
P4_F5,,,,,,,,,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_G1,-0.301397029887414,-0.880680282194683,-0.370662996387213,0.443741484254174,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Nitrobacteraceae,Tardiphaga,0.00370325593825362,0.00598414691571182,0.00348733043255695,0.00460024848057486,0.00123209610349607,0.00264333668623828,0.00216867992452994,0.00319101011112223,0.00220581436817287,0.00358196685212643,0.00292005366585116,0.00112498593767578,0.00208889404665197,0.00251597016523322,0.00237659464036933,0.00151807635361808,0.00177744106763018,0.00193558918868497,0.00385991182097995,0.00183404160143145,0.00347310461668784,0.00233467577190218,0.00284868332510879,0.00438248183770111,0.00393880208333333,0.00858066730494788,0.00282625274774573,0.00590792553784416,0.00378447125973261
P4_G10,-0.0927605348538947,-0.221214834491577,-0.387881501158244,0.186248685403877,0,0,0,0,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,4.45408789824318e-05,0,0,0,0,0,0,0,3.96254078114887e-05,0,0,0,2.32099338516885e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000126451939230811,0,0,0
P4_G3,-2.03469739719304,-3.69705437665657,-2.55314259409454,-1.80415978316619,-1,-1,-1,-1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.00622936007482868,0.0105556427562392,0.00543895572050166,0.00523823914576408,0.00657117921864572,0.00346206928817048,0.000867471969811976,0.0020397437180899,0.00120197070361516,0.00160014092984336,0.00145213479599085,0.000478119023512206,0.00113728675873274,0.000446094000927876,0.000245854617969241,0.000337350300804018,0.00084501296657828,0.00151582285860871,0.00179685550286998,0.00100648624468799,0.0023718763235917,0.000714994455145042,0.000426180969898165,0.00144121885937822,0.00172526041666667,0.00455226981230919,0.0013906957965098,0.00228514100992086,0.00124081024909266
P4_G7,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,0,0,0,0,0,0,0,0,7.92508156229775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_H10,0.180493060754376,1.09040245799344,1.30593220480939,1.05024926228141,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,0.0546898364077145,0.0562313608538691,0.0267468646019964,0.0859272690641684,0.0579085168643154,0.0498257269175887,0.0790483832491163,0.0390554610071078,0.045648469798835,0.0682922532626727,0.0953989424670507,0.0418072899088761,0.0370430544272949,0.21678384069091,0.214002786352337,0.15469385460202,0.181007605116699,0.0880343275576596,0.0901921637135014,0.146544397226571,0.0934491034872229,0.159939882098874,0.283746803642726,0.324450719138798,0.07529296875,0.113535776866521,0.124579426674443,0.0420800356704938,0.117163507770574
P4_H11,,Inf,,,,1,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Alsobacteraceae,Alsobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.000742717883254033,0.000160593840334035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_H6,0.0661768293344251,-0.390876307088858,-0.066878500835299,-0.390876307088859,0,0,0,0,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,0.000127975428717686,0,0,0,0,0,6.60423463524812e-05,0,0.00011048851708626,0,0,0,0,0,0,0,0,0,0.000127064803049555,0,0,0,0,0,0,0,0
