Fresh_weight	Genotype	Treatment	
0,0136	nsp2	no_SC	
0,0352	nsp2	no_SC	
0,0243	nsp2	no_SC	
0,0243	nsp2	no_SC	
0,0256	nsp2	no_SC	
0,0177	nsp2	no_SC	
0,0185	nsp2	no_SC	
0,0233	nsp2	no_SC	
0,0246	nsp2	no_SC	
0,02	nsp2	no_SC	
0,0139	nsp2	no_SC	
0,0162	nsp2	no_SC	
0,0227	nsp2	no_SC	
0,0134	nsp2	no_SC	
0,0257	nsp2	no_SC	
0,0322	nsp2	no_SC	
0,04112	nsp2	no_SC	
0,0265	nsp2	no_SC	
0,0259	nsp2	no_SC	
0,0269	nsp2	no_SC	
0,0207	nsp2	no_SC	
0,0177	nsp2	no_SC	
0,0181	nsp2	no_SC	
0,0162	nsp2	no_SC	
0,0246	nsp2	no_SC	
0,0243	nsp2	no_SC	
0,0285	nsp2	no_SC	
0,02	nsp2	no_SC	
0,0334	nsp2	no_SC	
0,023	nsp2	no_SC	
0,0168	nsp2	no_SC	
0,0237	nsp2	no_SC	
0,0182	nsp2	no_SC	
0,0187	nsp2	no_SC	
0,0191	f6h1	no_SC	
0,0106	f6h1	no_SC	
0,0301	f6h1	no_SC	
0,0333	f6h1	no_SC	
0,0171	f6h1	no_SC	
0,0228	f6h1	no_SC	
0,0304	f6h1	no_SC	
0,0262	f6h1	no_SC	
0,0334	f6h1	no_SC	
0,0227	f6h1	no_SC	
0,0167	f6h1	no_SC	
0,0339	f6h1	no_SC	
0,036	f6h1	no_SC	
0,0379	f6h1	no_SC	
0,0434	f6h1	no_SC	
0,0376	f6h1	no_SC	
0,0321	f6h1	no_SC	
0,023	f6h1	no_SC	
0,0204	f6h1	no_SC	
0,0183	f6h1	no_SC	
0,0456	f6h1	no_SC	
0,0249	f6h1	no_SC	
0,018	f6h1	no_SC	
0,019	f6h1	no_SC	
0,0194	f6h1	no_SC	
0,0255	f6h1	no_SC	
0,0279	f6h1	no_SC	
0,0194	f6h1	no_SC	
0,0281	f6h1	no_SC	
0,0197	f6h1	no_SC	
0,025	f6h1	no_SC	
0,0152	f6h1	no_SC	
0,0278	f6h1	no_SC	
0,0286	f6h1	no_SC	
0,0291	f6h1	no_SC	
0,027	f6h1	no_SC	
0,0198	f6h1	no_SC	
0,0203	f6h1	no_SC	
0,0267	f6h1	no_SC	
