ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_endo,Lj_Gifu_LjSC_2_endo,Lj_Gifu_LjSC_3_endo,Lj_Gifu_LjSC_4_endo,Lj_symrk_LjSC_1_endo,Lj_symrk_LjSC_2_endo,Lj_symrk_LjSC_3_endo,Lj_symrk_LjSC_4_endo,Lj_ccamk_LjSC_1_endo,Lj_ccamk_LjSC_2_endo,Lj_ccamk_LjSC_3_endo,Lj_ccamk_LjSC_4_endo,Lj_nsp1_LjSC_1_endo,Lj_nsp1_LjSC_2_endo,Lj_nsp1_LjSC_3_endo,Lj_nsp1_LjSC_4_endo,Lj_nsp2_LjSC_1_endo,Lj_nsp2_LjSC_2_endo,Lj_nsp2_LjSC_3_endo,Lj_nsp2_LjSC_4_endo
G35_LjRoot145,1.17831968518552,2.10173796677888,0.823572385913417,0.447577761952018,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0.00107861642928934,0,0.00183279289440293,0,0.00135414198178679,0.00138558238546902,0.00126262626262626,0.00206864611742912,0.00417076985460233,0.00361524978089395,0.00181613331763835,0.00231631613082554,0.00136100169724918,0.00336146646997654,0.00130381027312577,0,0.00202937605003576,0.00168429131843766,0,0.000614834274216086
G36_LjRoot142,-0.870307242786766,-1.87993027697145,-1.17355874578625,-0.706505661487585,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0.00343196136592062,0.00240523998711479,0.00192678227360308,0.00254092462673143,0.00138799553133146,0.000869138041794203,0.00119949494949495,0.00250090053002624,0,0,0.00206837405619924,0.0012971370332623,0.00120088385051398,0.00280525259364949,0.00161852309767337,0,0.00202937605003576,0.00174825174825175,0.00280411269862465,0.000572913755519535
G37_LjNodule209,-7.28788510247971,-7.58598396943889,-6.68761390780775,-7.91643694466918,-1,-1,-1,-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,0.0288529894834898,0.155503060238376,0.366511584190986,0.389840798704803,0,0.00165010265905856,0.00268939393939394,0,0.000984765104558883,0.00197195442594216,0,0,0,0.00125752702473943,0.00175340002247949,0.00519584332533973,0,0.00157769060208085,0,0
G3_LjRoot129,1.33726414927534,1.98151477396886,0.861354976735039,1.75454973794981,1,1,0,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0222709778638492,0.0180822506174165,0.0173175431176277,0.0144135635905738,0.0392193371474999,0.0508130849362002,0.0340656565656566,0.060350949415942,0.0778254069396976,0.0538453111305872,0.0749827635495317,0.077828221995738,0.0225285810356422,0.0366375662015429,0.0362369337979094,0.0363709032773781,0.0683500507344013,0.06805389732219,0.0921351315262385,0.0304063495612319
G4_LjRoot26,0.95151871377937,1.11208813777731,0.909093813474997,1.32574438467956,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,0.0027455690927365,0.00173950391925266,0.00399454861600639,0.00215866162978953,0.00313145333288195,0.00381664966179194,0.00349747474747475,0.0137806823444656,0.0060823727046284,0.00487510955302366,0.00455714934333328,0.0066555483492387,0.00238575591635444,0.00614253585161181,0.00413622569405418,0.00839328537170264,0.0066037892775754,0.00528739553129797,0.00787822139137402,0.00591079313621374
G5_LjRoot105,0.326668161182959,Inf,-2.66343852476789e-16,-1.96261557335472e-16,0,1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0,0,0,0,0,0,0,0.00569134976586219,0.00460522504779007,0,0,0.00633126409092313,0,0,0,0,0,0,0,0
G6_LjRoot130,0.160900153955694,0.875793677795448,0.455304749578787,0.475795827850973,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.00433897972691393,0.00392999033608934,0.00507542647680812,0.00415992084907357,0.00511188598124513,0.00555492574538034,0.00410353535353535,0.00482684094066794,0.00593755430689915,0.0078330411919369,0.010375502379471,0.00846227493128262,0.00371473404425657,0.00645691760779667,0.00517028211756772,0.0101918465227818,0.0080842357403064,0.00607624083233839,0.00791160368540526,0.00346542954558158
G7_LjRoot117,0.1149493682661,1.84554825137698,2.15510757484449,0.248322242068118,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.00140955556100311,0.0012240953505852,0.00108087786080173,0.00132667745997482,0.000710924540438065,0.000617213971708927,0.00202020202020202,0.00383883085473164,0.00892081330012165,0.00180762489044698,0.00418719626011065,0.00611507458537941,0.00984724757421462,0.00962491838165945,0.00319208722041138,0.00319744204636291,0.00435816823860139,0.000874125874125874,0.00257043664040593,0.000503046224358616
G8_LjRoot126,-1.31817047253113,-0.76843376891197,-0.725860421961895,-0.914733432259549,-1,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.0282523962444537,0.0338451626758295,0.021876028008835,0.0187983450260838,0.0083448999627611,0.0051518472332439,0.0104166666666667,0.0227139402048063,0.0131784741933615,0.0176928133216477,0.0126961171742311,0.0157818339046913,0.00863035193902713,0.0164204009576552,0.0182533438237608,0.0201838529176659,0.0145549511785352,0.0150093808630394,0.0178929096007478,0.00796489855234476
G9_LjRoot131,-0.101621289494403,1.93315330509675,0.463643155209874,-0.132486561588086,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,0.00120118647807222,0,0,0,0,0,0,0.000905675912108269,0.0028674042750391,0,0.00275783207493232,0.00559004292905896,0.000992730649758222,0,0.00182083848488254,0,0.000831711495916297,0,0,0
