Feature ID	Taxon	Confidence
7355debd337f91fe84b9ec29ae1e16f7	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis; s__uncultured_bacterium	0.725072884
3c863cf67a014692d9f01d71cba0f7fb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae	0.999729817
33d7585f589c33ec52ccc6e280be4554	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999651935
89483accd1cbdb9172f0ce30bf389c17	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.9999976
f27dc9e9b10e3a62d3e75d2fc1e738f9	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales	0.954263366
8c94386c904bd9e60f9791935c07a8e8	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales	1
89cb97e01abe8c40a11f0e82ce6f8e04	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	0.999374078
bdf8b1a2a561ffb7f98d92b73f3251f8	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20	0.999999999
224fc4bddca5dc70caa1268d442f2715	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured_bacterium	0.915520572
ca238ac75951426e89841bb359ca387e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	0.981543905
025e0d6da0d46d7123bdb1805df2e3c6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__metagenome	0.85425861
175e9fb34f17b11ae1bef4a16a8bfcaa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.986984244
cc82d8105024b11331961ccaeefbd507	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__A21b; g__A21b	0.999997358
443dfbb7770d1f88eefb34af33286991	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.991864707
