Fresh_weight	Plant_species	Genotype	Soil_type
0.0854	Lotus	symrk	NPK
0.0315	Lotus	symrk	NPK
0.0732	Lotus	symrk	NPK
0.0875	Lotus	symrk	NPK
0.0543	Lotus	symrk	NPK
0.0443	Lotus	symrk	NPK
0.0538	Lotus	symrk	NPK
0.0723	Lotus	symrk	NPK
0.0965	Lotus	symrk	NPK
0.0854	Lotus	symrk	NPK
0.0396	Lotus	symrk	NPK
0.0736	Lotus	symrk	NPK
0.0814	Lotus	symrk	NPK
0.0922	Lotus	symrk	NPK
0.135	Lotus	symrk	NPK
0.0959	Lotus	symrk	NPK
0.0732	Lotus	symrk	NPK
0.0845	Lotus	symrk	NPK
0.0351	Lotus	symrk	NPK
0.0521	Lotus	symrk	NPK
0.0242	Lotus	symrk	NPK
0.0695	Lotus	symrk	NPK
0.0752	Lotus	symrk	NPK
0.1105	Lotus	symrk	NPK
0.0861	Lotus	symrk	NPK
0.0906	Lotus	symrk	NPK
0.0709	Lotus	WT	NPK
0.1074	Lotus	WT	NPK
0.0779	Lotus	WT	NPK
0.0811	Lotus	WT	NPK
0.126	Lotus	WT	NPK
0.0573	Lotus	WT	NPK
0.0627	Lotus	WT	NPK
0.0989	Lotus	WT	NPK
0.0992	Lotus	WT	NPK
0.0531	Lotus	WT	NPK
0.0676	Lotus	WT	NPK
0.0487	Lotus	WT	NPK
0.0544	Lotus	WT	NPK
0.0913	Lotus	WT	NPK
0.0451	Lotus	WT	NPK
0.0884	Lotus	WT	NPK
0.0526	Lotus	WT	NPK
0.0543	Lotus	WT	NPK
0.0773	Lotus	WT	NPK
0.0526	Lotus	WT	NPK
0.0631	Lotus	WT	NPK
0.0592	Lotus	WT	NPK
0.0606	Lotus	WT	NPK
0.092	Lotus	WT	NPK
0.101	Lotus	WT	NPK
0.0951	Lotus	WT	NPK
0.0281	Lotus	WT	NPK
0.0406	Lotus	WT	NPK
0.0819	Lotus	WT	NPK
0.0626	Lotus	WT	NPK
0.0791	Lotus	WT	NPK
0.054	Lotus	WT	NPK
0.0726	Lotus	WT	NPK
0.0551	Lotus	WT	NPK
0.0713	Lotus	WT	NPK
0.0788	Lotus	WT	NPK
0.0546	Lotus	WT	NPK
0.0648	Lotus	WT	NPK
0.0696	Lotus	WT	NPK
0.0495	Lotus	WT	NPK
0.0492	Lotus	WT	NPK
0.0472	Lotus	WT	NPK
0.0502	Lotus	WT	NPK
0.0626	Lotus	WT	NPK
0.06	Lotus	WT	NPK
0.0532	Lotus	WT	NPK
0.0642	Lotus	WT	NPK
0.0677	Lotus	WT	NPK
0.0617	Lotus	WT	NPK
0.0458	Lotus	WT	NPK
0.0492	Lotus	WT	NPK
0.0594	Lotus	WT	NPK
0.0456	Lotus	WT	NPK
0.0432	Lotus	WT	NPK
0.0343	Lotus	WT	NPK
0.0353	Lotus	WT	NPK
0.0527	Lotus	WT	NPK
0.0394	Lotus	WT	NPK
0.036	Lotus	nsp1	PK
0.0371	Lotus	nsp1	PK
0.0191	Lotus	nsp1	PK
0.0277	Lotus	nsp1	PK
0.0201	Lotus	nsp1	PK
0.0287	Lotus	nsp1	PK
0.0251	Lotus	nsp1	PK
0.0161	Lotus	nsp1	PK
0.0045	Lotus	nsp1	PK
0.0333	Lotus	nsp1	PK
0.0296	Lotus	nsp1	PK
0.0297	Lotus	nsp1	PK
0.0139	Lotus	nsp1	PK
0.023	Lotus	nsp1	PK
0.0138	Lotus	nsp1	PK
0.0234	Lotus	nsp1	PK
0.0311	Lotus	nsp1	PK
0.0378	Lotus	nsp1	PK
0.0396	Lotus	nsp1	PK
0.0218	Lotus	nsp1	PK
0.0424	Lotus	nsp1	PK
0.0429	Lotus	nsp1	PK
0.0178	Lotus	nsp1	PK
0.0397	Lotus	nsp1	PK
0.0282	Lotus	nsp1	PK
0.0258	Lotus	nsp1	PK
0.0291	Lotus	nsp1	PK
0.0319	Lotus	nsp1	PK
0.0418	Lotus	nsp1	PK
0.0291	Lotus	nsp1	PK
0.0257	Lotus	nsp1	PK
0.0234	Lotus	nsp1	PK
0.0417	Lotus	nsp1	PK
0.0201	Lotus	nsp1	PK
0.0326	Lotus	nsp1	PK
0.0252	Lotus	nsp1	PK
0.0298	Lotus	nsp1	PK
0.0232	Lotus	nsp1	PK
0.018	Lotus	nsp1	PK
0.0269	Lotus	nsp1	PK
0.0177	Lotus	nsp1	PK
0.0229	Lotus	nsp1	PK
0.0246	Lotus	nsp1	PK
0.0341	Lotus	nsp1	PK
0.0215	Lotus	nsp1	PK
0.0199	Lotus	nsp1	PK
0.0219	Lotus	nsp1	PK
0.0264	Lotus	nsp1	PK
0.0189	Lotus	nsp1	PK
0.0198	Lotus	nsp1	PK
0.0247	Lotus	nsp1	PK
0.0309	Lotus	nsp1	PK
0.0229	Lotus	nsp1	PK
0.0275	Lotus	nsp1	PK
0.0271	Lotus	nsp1	PK
0.0208	Lotus	nsp1	PK
0.0208	Lotus	nsp2	PK
0.0154	Lotus	nsp2	PK
0.0301	Lotus	nsp2	PK
0.043	Lotus	nsp2	PK
0.0354	Lotus	nsp2	PK
0.0269	Lotus	nsp2	PK
0.0184	Lotus	nsp2	PK
0.0152	Lotus	nsp2	PK
0.0285	Lotus	nsp2	PK
0.0261	Lotus	nsp2	PK
0.0472	Lotus	nsp2	PK
0.0598	Lotus	nsp2	PK
0.0335	Lotus	nsp2	PK
0.039	Lotus	nsp2	PK
