	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot30	98	15	49	40	14	89	22	5	31	22	0	30	32	21	0	14	48	55	15	27	51	62	33	74	35	48	0	25	60	31	29	18	22	25	29	54	26	49	21	54	40	71	48	34
LjRoot295	14	0	9	12	0	20	51	0	27	0	0	24	97	41	15	39	57	80	24	19	14	11	14	22	11	11	0	0	41	20	74	35	29	36	29	32	43	39	76	65	55	41	85	14
LjRoot296	50	0	69	16	0	62	44	0	50	0	23	57	36	34	20	33	43	60	38	44	61	52	31	86	71	50	41	47	31	86	29	37	0	68	28	54	0	47	63	73	27	29	90	28
LjRoot257	75	0	46	54	0	75	0	0	104	0	0	55	53	63	0	0	71	98	0	76	0	0	0	76	0	0	0	0	48	54	0	0	0	51	0	37	0	44	0	74	0	0	113	0
G9_LjRoot131	98	0	90	0	0	0	0	0	0	0	0	0	99	0	0	0	164	0	362	76	62	0	0	0	81	0	0	0	50	0	0	0	0	69	0	0	0	0	0	0	0	0	88	0
G24_LjRoot12	82	0	55	25	0	55	16	0	53	28	0	38	20	45	0	20	51	65	23	66	6	50	11	31	9	21	0	11	20	49	0	12	0	27	0	49	0	30	12	40	13	74	89	29
LjRoot244	5	0	25	310	27	13	0	0	30	7	0	25	0	30	0	0	0	26	0	20	0	10	0	17	0	20	0	0	0	10	0	0	0	18	7	21	0	14	225	19	0	40	51	26
G15_LjRoot29	34	0	32	10	0	27	10	0	24	16	0	18	0	0	0	7	0	15	0	0	6	48	25	53	0	60	0	15	0	23	19	30	0	32	23	63	12	42	56	61	31	77	8	93
LjRoot230	30	0	13	7	0	25	12	0	24	7	0	20	0	0	8	0	0	0	0	0	33	66	11	79	0	26	0	5	0	0	22	25	22	76	32	89	17	41	12	36	14	30	0	81
LjRoot258	106	11	0	96	0	0	98	0	0	82	0	37	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	38	0	0	67	0	0	0	0	0	84	0	65	0	0	0	0	0
LjRoot8	0	0	10	0	0	10	0	0	26	0	0	33	0	44	0	14	0	26	0	14	0	40	0	21	0	30	0	12	0	26	0	10	0	26	0	12	0	23	0	10	0	43	57	14
LjRoot220	0	0	0	18	0	0	0	7	11	16	0	13	0	23	0	0	18	11	14	0	37	0	35	22	0	19	0	0	36	10	0	0	0	9	0	0	8	0	0	17	13	0	23	0
G34_LjRoot233	21	0	16	24	0	20	8	0	13	13	0	0	28	0	0	0	20	0	0	0	0	22	15	22	0	0	0	0	23	0	0	0	0	13	0	20	0	14	0	21	21	14	11	0
LjRoot80	0	0	0	0	0	15	0	0	20	0	0	21	0	11	0	11	0	30	0	14	0	13	0	15	0	6	0	11	0	32	0	9	0	33	7	18	0	12	0	8	0	22	22	10
LjRoot247	15	0	17	0	0	23	0	0	18	0	0	20	0	0	0	7	0	0	0	0	0	17	0	26	0	20	0	11	14	10	0	9	0	26	0	15	0	14	0	36	0	18	0	0
