ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
b6c1822b4ebbec041f9855421f05a3cf,UF,Rhizosphere,ccamk,0.74900215085034,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_Dehalococcoidia,0.826145363275482
b6c1822b4ebbec041f9855421f05a3cf,UF,Rhizosphere,nsp1,1.63262677893964,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_Dehalococcoidia,0.826145363275482
b6d8a43206372643d3cdb94c129da487,UF,Rhizosphere,symrk,0.850152650463088,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.997365993458497
b6d8a43206372643d3cdb94c129da487,UF,Rhizosphere,ccamk,0.61861078706793,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.997365993458497
b6e9c032ad369f333b1432eb4be52d78,PK,Rhizosphere,nsp2,0.646606063185068,FALSE,TRUE,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured_bacterium,0.756945559129622
b6fd4db5aaa84d811f448e21eb70e73d,UF,Rhizosphere,ccamk,0.931467995770341,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,uncultured_bacterium,0.933118450709042
b70c43dd6cc934226b6d3c166e788503,PK,Rhizosphere,ccamk,1.27237554191354,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,Unknown,0.999739309597942
b76cb9e2bfcbaae477dc6516b064f6c3,NPK,Root,symrk,-0.912922800423052,TRUE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.956767963421905
b76cb9e2bfcbaae477dc6516b064f6c3,NPK,Root,ccamk,-0.912922800423052,TRUE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.956767963421905
b76cb9e2bfcbaae477dc6516b064f6c3,NPK,Root,nsp1,-0.912922800423052,TRUE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.956767963421905
b76cb9e2bfcbaae477dc6516b064f6c3,NPK,Root,nsp2,-0.912922800423052,TRUE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.956767963421905
b77e709a5e6b30a895d1b735af62c9a5,PK,Rhizosphere,ccamk,0.724009867902874,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_ferrarius,0.927148982877903
