formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C26H34NO18	[M - H]-	C26H33NO18-		1,000	97,957	97,957	0,000	34	0,720	-3,726	4,232	-3,850		647,168	112	1,874	694879802394542300	694877465244394834	3359	
1	C11H20N2O5	[M - H]-	C11H19N2O5-		0,997	71,368	69,950	1,418	18	0,289	0,151	3,309	-0,522		259,130	113	1,876	694879697310437468	694877387435851207	1350	
1	C12H15N5O4	[M - H]-	C12H14N5O4-		1,000	90,481	89,376	1,105	26	0,426	-5,233	6,722	-7,865		292,103	113	1,877	694879697134276551	694877396629767120	1659	
1	C5H8N5O3	[M - H]-	C5H7N5O3-		0,948	30,417	30,417	0,000	6	0,185	6,531	7,882	0,931		185,056	113	1,882	694879704109404983	694877361745735271	565	
1	C7H6O4	[M - H]-	C7H5O4-		0,858	4,500	4,500	0,000	0	0,000			4,364		153,020	113	1,884	694879698908467465	694877351461300448	282	
1	C6H13N4OS	[M - H]-	C6H12N4OS-		1,000	49,508	49,508	0,000	19	0,365	-8,417	11,985	-15,742		188,071	113	1,885	694879705267033049	694877363947745201	631	
1	P3SSe	[M - H]-	-HP3SSe-		1,000	-12,038	-12,294	0,256	0	0,000	-3,725	3,725	-3,568		197,808	114	1,892	694879708484064738	694877366913118579	721	
1	C4H6ClN2O5Se	[M - H]-	C4H5ClN2O5Se-		0,966	45,413	45,413	0,000	20	0,628	4,593	8,907	8,655		269,914	114	1,895	694879714578389232	694877390610939845	1452	
1	C4H5ClN2S2	[M - H]-	C4H4ClN2S2-		0,505	15,376	15,376	0,000	4	0,237	6,500	10,648	0,607		178,951	114	1,899	694879711810148405	694877359761829184	506	
1	C12H13NO5S	[M - H]-	C12H12NO5S-		0,538	51,607	51,607	0,000	22	0,745	-0,276	1,997	-0,380		282,044	114	1,899	694879712107944067	694877393639227848	1555	
1	C7H8N4O2	[M - H]-	C7H7N4O2-		0,852	21,660	21,473	0,187	8	0,049	-11,478	11,478	-9,433		179,056	114	1,901	694879706890228879	694877360068013421	515	
1	C12H15N5O7S	[M - H]-	C12H14N5O7S-		1,000	93,780	90,053	3,728	34	0,730	-2,445	5,863	-3,070		372,061	115	1,921	694879721352190878	694877431241167994	2503	
1	C2H4NO6PS	[M - H]-	C2H3NO6PS-		0,539	1,676	1,676	0,000	2	0,025	15,275	15,275	-4,191		199,942	115	1,924	694879736917254221	694877368003637769	751	
1	C11H22NO3PS2	[M - H]-	C11H21NO3PS2-		0,998	83,661	83,661	0,000	33	0,674	2,418	6,242	-3,760		310,069	116	1,932	694879725018012850	694877405135816739	1878	
1	C6H9NO3	[M - H]-	C6H8NO3-		0,966	2,239	2,000	0,239	0	0,000			1,572		142,051	116	1,935	694879732479680108	694877347598346014	192	
1	C7H9NO5	[M - H]-	C7H8NO5-		1,000	65,406	63,104	2,302	16	0,322	-5,135	6,625	3,892		186,042	117	1,945	694879723952659538	694877362479738586	588	
1	C4H7NO2	[M - H]-	C4H6NO2-		1,000	1,609	1,609	0,000	0	0,000	8,346	8,346	11,642		100,042	117	1,947	694879725114481873	694877336328250271	13	
1	C8H14N2O4	[M - H]-	C8H13N2O4-		0,703	6,609	6,609	0,000	4	0,099	9,907	9,907	-5,323		201,087	117	1,950	694879733196906187	694877368553091673	767	
1	C6H13NO2	[M - H]-	C6H12NO2-		0,999	4,337	1,810	2,527	0	0,000	3,358	3,358	2,520		130,088	117	1,954	694879733264015076	694877344263873964	118	
1	C12H19NO4S	[M - H]-	C12H18NO4S-		0,500	50,646	50,646	0,000	16	0,316	0,988	6,249	6,900		272,098	117	1,958	694879749214955932	694877391508521056	1483	
1	C12H20N2O2S2	[M - H]-	C12H19N2O2S2-		0,781	75,431	75,431	0,000	28	0,603	1,631	3,590	-6,700		287,087	118	1,962	694879749034600833	694877394876547718	1593	
1	C8H12N2O4	[M - H]-	C8H11N2O4-		0,962	6,837	6,837	0,000	2	0,018	7,563	7,563	-6,181		199,071	118	1,963	694879744932571360	694877367215108507	729	
1	C10H13N5O5	[M - H]-	C10H12N5O5-		1,000	104,739	104,739	0,000	24	0,649	3,823	5,531	-1,603		282,084	118	1,965	694879742579566257	694877393760862679	1558	
1	C6H7ClN2O2S2	[M - H]-	C6H6ClN2O2S2-		0,855	26,131	26,131	0,000	13	0,272	4,232	5,936	8,564		236,959	119	1,978	694879750729099881	694877381203114383	1134	
1	C9H22N6O2S2	[M - H]-	C9H21N6O2S2-		0,987	53,776	53,776	0,000	30	0,656	-0,702	5,242	3,690		309,118	119	1,982	694879742730561248	694877404192098194	1849	
