formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C18H28N2O3	[M - H]-	C18H27N2O3-		133,821	133,821	0,000	30	0,565	-2,688	4,344	0,816		319,203	811	13,520	650282327918750185	650277948922124033	1376	
1	C18H34O4	[M - H]-	C18H33O4-		118,930	116,695	2,236	23	0,400	-3,064	4,298	2,097		313,239	811	13,520	650282331303553860	650277944442607128	1331	
1	C10H18O2	[M - H]-	C10H17O2-		47,671	47,671	0,000	14	0,065	-1,918	5,780	-1,829		169,123	811	13,521	650282325473470638	650277886942888530	306	
1	C16H31N4O4	[M - H]-	C16H30N4O4-		115,305	112,574	2,731	34	0,704	6,686	7,338	4,354		342,229	812	13,531	650282327608371620	650277960766839316	1531	
1	C8H15N4O	[M - H]-	C8H14N4O-		91,542	89,270	2,272	21	0,318	-0,383	6,586	7,300		182,119	812	13,531	650282325481859255	650277890227028952	386	
1	C9H17NO3	[M - H]-	C9H16NO3-		91,420	89,069	2,352	19	0,342	-3,462	7,895	-2,098		186,113	812	13,532	650282323950937890	650277891963470978	421	
1	C18H36O5	[M - H]-	C18H35O5-		126,508	121,138	5,371	31	0,602	-4,133	4,289	0,433		331,249	815	13,579	650282324206790502	650277957369452837	1485	
1	C18H31NO3	[M - H]-	C18H30NO3-		82,316	78,939	3,377	25	0,309	-0,117	6,255	1,460		308,224	816	13,603	650282322436793923	650277937920464040	1255	
1	C18H29NO2	[M - H]-	C18H28NO2-		72,750	69,555	3,196	18	0,587	-4,976	5,938	1,499		290,213	816	13,607	650282320893289943	650277923936653634	1081	
1	C9H16O2	[M - H]-	C9H15O2-		14,548	14,548	0,000	5	0,051	-10,637	12,297	-0,136		155,108	817	13,609	650282335527218288	650277882576617656	224	
1	C19H29N3O4	[M - H]-	C19H28N3O4-		148,524	147,335	1,188	38	0,642	-1,732	5,513	7,151		362,211	817	13,610	650282339415338449	650277968098483321	1652	
