Fresh_weight	Plant_species	Genotype	Soil_type	Experiment
0.0571	Lotus	ccamk	NPK	Lotus_CSSP
0.0566	Lotus	ccamk	NPK	Lotus_CSSP
0.0407	Lotus	ccamk	NPK	Lotus_CSSP
0.0843	Lotus	ccamk	NPK	Lotus_CSSP
0.0482	Lotus	ccamk	NPK	Lotus_CSSP
0.0431	Lotus	ccamk	NPK	Lotus_CSSP
0.0534	Lotus	ccamk	NPK	Lotus_CSSP
0.0481	Lotus	ccamk	NPK	Lotus_CSSP
0.0733	Lotus	ccamk	NPK	Lotus_CSSP
0.0712	Lotus	ccamk	NPK	Lotus_CSSP
0.0441	Lotus	ccamk	NPK	Lotus_CSSP
0.034	Lotus	ccamk	NPK	Lotus_CSSP
0.0443	Lotus	ccamk	NPK	Lotus_CSSP
0.0531	Lotus	ccamk	NPK	Lotus_CSSP
0.0579	Lotus	ccamk	NPK	Lotus_CSSP
0.0517	Lotus	ccamk	NPK	Lotus_CSSP
0.0399	Lotus	ccamk	NPK	Lotus_CSSP
0.049	Lotus	ccamk	NPK	Lotus_CSSP
0.0405	Lotus	ccamk	NPK	Lotus_CSSP
0.0098	Lotus	ccamk	NPK	Lotus_CSSP
0.0494	Lotus	ccamk	NPK	Lotus_CSSP
0.0607	Lotus	ccamk	NPK	Lotus_CSSP
0.0721	Lotus	ccamk	NPK	Lotus_CSSP
0.0631	Lotus	ccamk	NPK	Lotus_CSSP
0.0596	Lotus	ccamk	NPK	Lotus_CSSP
0.056	Lotus	ccamk	NPK	Lotus_CSSP
0.0406	Lotus	ccamk	NPK	Lotus_CSSP
0.0654	Lotus	ccamk	NPK	Lotus_CSSP
0.0558	Lotus	ccamk	NPK	Lotus_CSSP
0.0399	Lotus	ccamk	NPK	Lotus_CSSP
0.0447	Lotus	symrk	NPK	Lotus_CSSP
0.0253	Lotus	symrk	NPK	Lotus_CSSP
0.0854	Lotus	symrk	NPK	Lotus_CSSP
0.0315	Lotus	symrk	NPK	Lotus_CSSP
0.0732	Lotus	symrk	NPK	Lotus_CSSP
0.0875	Lotus	symrk	NPK	Lotus_CSSP
0.0543	Lotus	symrk	NPK	Lotus_CSSP
0.0443	Lotus	symrk	NPK	Lotus_CSSP
0.0538	Lotus	symrk	NPK	Lotus_CSSP
0.0723	Lotus	symrk	NPK	Lotus_CSSP
0.0965	Lotus	symrk	NPK	Lotus_CSSP
0.0854	Lotus	symrk	NPK	Lotus_CSSP
0.0396	Lotus	symrk	NPK	Lotus_CSSP
0.0736	Lotus	symrk	NPK	Lotus_CSSP
0.0814	Lotus	symrk	NPK	Lotus_CSSP
0.0922	Lotus	symrk	NPK	Lotus_CSSP
0.135	Lotus	symrk	NPK	Lotus_CSSP
0.0959	Lotus	symrk	NPK	Lotus_CSSP
0.0732	Lotus	symrk	NPK	Lotus_CSSP
0.0845	Lotus	symrk	NPK	Lotus_CSSP
0.0351	Lotus	symrk	NPK	Lotus_CSSP
0.0521	Lotus	symrk	NPK	Lotus_CSSP
0.0242	Lotus	symrk	NPK	Lotus_CSSP
0.0695	Lotus	symrk	NPK	Lotus_CSSP
0.0752	Lotus	symrk	NPK	Lotus_CSSP
0.1105	Lotus	symrk	NPK	Lotus_CSSP
0.0861	Lotus	symrk	NPK	Lotus_CSSP
0.0906	Lotus	symrk	NPK	Lotus_CSSP
0.0709	Lotus	WT	NPK	Lotus_CSSP
0.1074	Lotus	WT	NPK	Lotus_CSSP
0.0779	Lotus	WT	NPK	Lotus_CSSP
0.0811	Lotus	WT	NPK	Lotus_CSSP
0.126	Lotus	WT	NPK	Lotus_CSSP
0.0573	Lotus	WT	NPK	Lotus_CSSP
0.0627	Lotus	WT	NPK	Lotus_CSSP
0.0989	Lotus	WT	NPK	Lotus_CSSP
0.0992	Lotus	WT	NPK	Lotus_CSSP
0.0531	Lotus	WT	NPK	Lotus_CSSP
0.0676	Lotus	WT	NPK	Lotus_CSSP
0.0487	Lotus	WT	NPK	Lotus_CSSP
0.0544	Lotus	WT	NPK	Lotus_CSSP
0.0913	Lotus	WT	NPK	Lotus_CSSP
0.0451	Lotus	WT	NPK	Lotus_CSSP
0.0884	Lotus	WT	NPK	Lotus_CSSP
0.0526	Lotus	WT	NPK	Lotus_CSSP
0.0543	Lotus	WT	NPK	Lotus_CSSP
0.0773	Lotus	WT	NPK	Lotus_CSSP
0.0526	Lotus	WT	NPK	Lotus_CSSP
0.0631	Lotus	WT	NPK	Lotus_CSSP
0.0592	Lotus	WT	NPK	Lotus_CSSP
0.0606	Lotus	WT	NPK	Lotus_CSSP
0.092	Lotus	WT	NPK	Lotus_CSSP
0.101	Lotus	WT	NPK	Lotus_CSSP
0.0951	Lotus	WT	NPK	Lotus_CSSP
0.0281	Lotus	WT	NPK	Lotus_CSSP
0.0406	Lotus	WT	NPK	Lotus_CSSP
0.0819	Lotus	WT	NPK	Lotus_CSSP
0.0626	Lotus	WT	NPK	Lotus_CSSP
0.0791	Lotus	WT	NPK	Lotus_CSSP
0.054	Lotus	WT	NPK	Lotus_CSSP
0.0726	Lotus	WT	NPK	Lotus_CSSP
0.0551	Lotus	WT	NPK	Lotus_CSSP
0.0713	Lotus	WT	NPK	Lotus_CSSP
0.0788	Lotus	WT	NPK	Lotus_CSSP
0.0546	Lotus	WT	NPK	Lotus_CSSP
0.0648	Lotus	WT	NPK	Lotus_CSSP
0.0696	Lotus	WT	NPK	Lotus_CSSP
0.0495	Lotus	WT	NPK	Lotus_CSSP
0.0492	Lotus	WT	NPK	Lotus_CSSP
0.0472	Lotus	WT	NPK	Lotus_CSSP
0.0502	Lotus	WT	NPK	Lotus_CSSP
0.0626	Lotus	WT	NPK	Lotus_CSSP
