ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
055503b1823b15b59e45f6d3257e3bc4,NPK,Root,symrk,-0.893426310201209,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unknown,0.999998356791417
055503b1823b15b59e45f6d3257e3bc4,NPK,Root,nsp2,-0.89342631020121,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unknown,0.999998356791417
05a818e61c3cb0270e855328e770f378,PK,Rhizosphere,nsp2,-1.2435558218246,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.960603272174668
05b0fa3a3d36d94abbdc2bfcd9534950,PK,Rhizosphere,nsp2,1.61401268436264,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Unknown,0.820007269281798
05b0fa3a3d36d94abbdc2bfcd9534950,PK,Root,nsp2,3.07093400877455,TRUE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Unknown,0.820007269281798
05b656e3b4d25b54817ec6de001dfdb1,PK,Rhizosphere,nsp1,-1.10877476723004,FALSE,TRUE,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,Actinobacteria_bacterium,0.985767543832521
05b656e3b4d25b54817ec6de001dfdb1,PK,Rhizosphere,nsp2,-1.10877476723005,FALSE,TRUE,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,Actinobacteria_bacterium,0.985767543832521
060dcd26cc8f731ea1b4fca7edb2c029,UF,Rhizosphere,ccamk,-1.41726719896137,FALSE,TRUE,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured_Gemmatimonadaceae,0.7232816604031
06307d64e873ed21fbb1281ccf9d96a0,NPK,Rhizosphere,ccamk,-0.978251410847501,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,Unknown,0.999998619162345
06307d64e873ed21fbb1281ccf9d96a0,NPK,Rhizosphere,nsp1,-0.978251410847501,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,Unknown,0.999998619162345
067417d9a917d1d6149d436e19ba9211,UF,Rhizosphere,ccamk,0.647068097436257,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Unknown,Unknown,0.999533915571672
067417d9a917d1d6149d436e19ba9211,UF,Rhizosphere,nsp2,0.931272599388485,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Unknown,Unknown,0.999533915571672
06a3d8563f16ad80c7be3b6bd9f75a80,PK,Rhizosphere,symrk,-0.885518616778215,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Unknown,Unknown,Unknown,0.998140969849226
06a3d8563f16ad80c7be3b6bd9f75a80,PK,Rhizosphere,ccamk,-0.885518616778215,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Unknown,Unknown,Unknown,0.998140969849226
06ac4b9d5d887495bb35fd47bdc954db,PK,Rhizosphere,symrk,-1.08675250344707,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unknown,0.999962501413828
06ac4b9d5d887495bb35fd47bdc954db,PK,Rhizosphere,nsp1,-1.08675250344708,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unknown,0.999962501413828
06ebb72cc2323f3d820ec022d42ce7b2,UF,Rhizosphere,nsp1,0.798747290501633,FALSE,TRUE,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Unknown,0.999436656604503
06f70a866610cb68258a41bb65c2b388,UF,Root,ccamk,-1.19396955211339,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999991593803402
06f70a866610cb68258a41bb65c2b388,UF,Root,nsp1,-1.19396955211339,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999991593803402
075858c09c3a7facd8d6ca193ef6e1d1,UF,Root,symrk,1.02351217698245,FALSE,TRUE,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,bacterium_enrichment,0.749502696072183
0769dba16bcb74ee1e623e13fb5b35df,NPK,Root,ccamk,-0.70816537479958,FALSE,TRUE,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Unknown,0.999999770647673
07fd9ddab985cf9bc1375cd70d79e0e8,PK,Root,symrk,0.781647261965119,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_marchantiophytorum,0.802032232018896
0807dc27e35b8882a7abecf41babec17,UF,Rhizosphere,nsp2,1.33132738966017,FALSE,TRUE,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_Prosthecobacter,0.991544806933078
0885138f087c32b1ba293035da00eb6c,PK,Root,symrk,0.844164419782268,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unknown,0.999130584153989
08bacffb2674e6cf7461497516f7add3,PK,Rhizosphere,ccamk,-1.36314432684813,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unknown,Unknown,0.996696026644235
08c398b135538070b36dc7801d0a2bbe,PK,Rhizosphere,nsp1,-1.10516658962783,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999999283265824
08e3ccbd2026cfee2cfd85810fbb5bee,NPK,Root,symrk,-7.55592736663575,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.999929452488816
08ee17a3a8d638d9fc83520288687b0f,PK,Root,ccamk,-1.07839006247991,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.999880421468892
09894b6d549bb014862bb24fa029e91d,NPK,Root,ccamk,-1.84028489542768,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999787788092707
099c4a77564b32d1b1844be2f43ae662,NPK,Rhizosphere,ccamk,0.766782380007994,FALSE,TRUE,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,Unknown,0.997890157073302
099c4a77564b32d1b1844be2f43ae662,NPK,Rhizosphere,nsp1,0.697908078761233,FALSE,TRUE,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,Unknown,0.997890157073302
09cca2b7db7c3bc8a66ce5c86ac0a85b,NPK,Rhizosphere,ccamk,1.66652872094966,TRUE,FALSE,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Unknown,0.779176400055874
