Number	Nodule_type	Genotype
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp1
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
	pink	nsp2
