"LjRoot89","LjRoot89",6,1,8,1,0,12,2,0,3,5,0,10,16,12,3,16,6,12,5,25,3,1,2,0,2,1,0,0,5,7,3,7,12,13,3,12,5,7,4,9,0,8,11,3
"LjRoot1","LjRoot1",8,0,9,10,2,12,3,0,2,12,0,4,2,6,0,1,4,7,3,4,2,8,16,5,3,2,14,3,5,4,4,5,6,6,2,10,8,5,8,8,3,12,4,9
"G30_LjRoot2","G30_LjRoot2",7,2,9,8,0,4,6,0,7,8,2,2,8,4,4,6,7,9,2,3,3,12,6,9,2,1,10,12,2,6,7,3,4,8,3,6,6,3,1,10,4,4,6,3
"LjRoot277","LjRoot277",3,0,7,1,0,16,3,0,8,4,0,11,3,2,0,9,0,5,1,2,2,11,0,5,1,11,0,14,2,9,1,10,8,17,3,11,3,8,1,9,1,14,4,7
"LjRoot152","LjRoot152",5,0,7,0,0,5,0,0,5,3,0,8,5,8,0,5,0,4,5,10,3,13,3,8,0,4,0,0,0,5,0,9,0,11,0,10,2,12,0,1,6,12,11,7
"G33_LjRoot104","G33_LjRoot104",5,0,0,0,0,3,0,2,1,7,3,0,7,3,4,0,9,5,3,3,3,0,14,3,6,0,0,0,10,2,8,0,7,9,3,1,2,1,11,6,5,2,5,5
"G27_LjRoot78","G27_LjRoot78",2,0,9,6,0,6,0,0,5,2,0,7,0,4,0,5,1,3,0,2,2,10,5,6,0,4,0,7,2,17,1,7,0,3,0,2,1,1,0,10,0,13,4,3
"LjRoot30","LjRoot30",2,1,1,6,1,3,2,1,2,2,0,0,5,2,0,5,7,1,4,3,1,2,8,6,5,3,0,4,4,1,1,3,2,2,3,4,3,5,1,3,3,8,1,4
"LjRoot295","LjRoot295",0,0,0,0,0,4,6,0,4,0,0,2,17,5,8,5,5,5,1,1,1,2,1,2,1,2,0,0,4,3,3,7,7,3,3,4,3,5,4,7,3,2,5,1
"LjRoot296","LjRoot296",1,0,5,1,0,7,8,0,6,0,5,2,5,8,7,7,6,2,6,5,2,3,3,8,6,4,47,16,2,10,4,6,0,6,4,4,0,3,9,2,2,0,4,3
"LjRoot257","LjRoot257",7,0,3,11,0,1,0,0,7,0,0,3,7,8,0,0,6,8,0,12,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,5,0,4,0,6,0,0,2,0
"G9_LjRoot131","G9_LjRoot131",6,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,23,1,4,0,0,0,10,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
"G24_LjRoot12","G24_LjRoot12",3,0,3,1,0,9,4,0,1,6,0,1,4,6,0,6,4,2,0,8,0,7,1,2,2,1,0,4,4,6,0,1,0,2,0,7,0,5,0,3,1,1,8,10
"LjRoot244","LjRoot244",0,0,4,32,2,1,0,0,3,0,0,1,0,4,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,3,13,1,0,8,0,1
"G15_LjRoot29","G15_LjRoot29",2,0,3,2,0,2,1,0,3,4,0,0,0,0,0,0,0,1,0,0,0,3,5,5,0,9,0,2,0,3,1,1,0,3,0,6,0,2,3,4,1,4,0,4
"LjRoot230","LjRoot230",3,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,3,6,3,1,0,7,0,0,0,0,0,5,3,7,3,12,4,2,0,3,1,2,0,8
"LjRoot258","LjRoot258",10,2,0,13,0,0,10,0,0,5,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,0,0,0,7,0,9,0,0,0,0,0
