Feature	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
2679ba3120d0c31472280948ae63c1b6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	Unknown	0.999990480487403
06ebb72cc2323f3d820ec022d42ce7b2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	Unknown	0.999436656604503
c4386368b68677762be93d5efc9a358b	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	uncultured_Xanthomonadaceae	0.759725420031369
16ef3f63c42a9069b77dbb485ad2c484	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lentzea_albidocapillata	0.842827011564455
941a32f800899e910d46bd991db7f7b4	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	uncultured_delta	0.896018892755819
a2a580f5af1f0fac9eb5d3f12906338e	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	Unknown	0.974569531375603
17ae685f6acf7a647aaa6a23b2a96f19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unknown	0.944057808847164
76929b9ce0492d7c7405de37aafed78c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured_Bradyrhizobiaceae	0.944750259523332
3a227c77ea636916e96bd3f71039522b	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.999987212981968
ddcc4c3b071cabf0eba9712c976fef18	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Unknown	Unknown	0.999860449605187
f9c60c7431f92e29140f2ac8ba2e9ad7	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Unknown	0.989790943342161
bddd73961b2c73f27bb7e3a5d9ff32d2	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Unknown	0.999790052186646
03278c89bfe5e7c211d2e8b02f9163ea	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	uncultured_Acidobacteriaceae	0.855654938473802
bb8caaf526d279b286713f0be0cbb8da	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	metagenome	0.91112737762509
b6c6fddc5a343f906a9d2688b380baa3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	metagenome	0.896488632681108
020a1b0ad0c23e426da39b0660247610	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	bacterium_Ellin6517	0.958839491296247
2aecb075981b3f0dd69e710cc7fbdb57	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Unknown	0.999915097320293
1e81aa4afa98ecab50231481c8a71c4a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unknown	Unknown	0.9999999108817
5e9d4b2aa87586a6ea89534dbcf76533	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7	uncultured_beta	0.88311038670265
a42c934bb65173d69f5d9311d55a897d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.998918853583267
3398d87a79ac41b09f81beb2a214b10c	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	uncultured	Unknown	0.732730863212548
099c4a77564b32d1b1844be2f43ae662	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	Unknown	0.997890157073302
eb70400e411a1bc046cb6601f93a3b12	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Unknown	0.913155759556066
57cccf33025d73c852ee2559cc1395d7	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	Unknown	0.999989760470283
f8bf764c94f09082493faea5a83febee	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unknown	0.992912270949334
59459207824b5bd18c89ad52f27b667b	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	Unknown	0.902689326919005
b091bff802371456bca2d725d1b793e5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	uncultured_Bacteroidetes	0.746615269358918
f008a7322fa5b789b1ec21d4484fadff	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	Unknown	0.999711991737314
3dc446a7a43988eab3c85763812d3710	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unknown	0.900848613312917
cc2209bbd85114970472af891a34ad31	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Humibacillus	Unknown	0.912876340938371
a1873ed6b5e3667ab24c7f9a1b2d175f	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Geobacter_sp.	0.912256085139116
1287f458c27b407e0448e495273bdd3a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.999971331515727
fea3e28c0b6052656baf73c636f2e005	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_Acidobacterium	0.94711019872781
574630f2aa2ac434e442bbd109ac2510	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	Unknown	0.99995437441906
d50e2d1574df05552bfdd68933538f1d	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085	S085	metagenome	0.867025100217092
994f257e92fa166cae9f4cb8a201106c	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Unknown	0.945960418058507
235d141db5e7a42a9842edff11ab24d6	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unknown	0.999976264725576
3afb70948399fda01a4501f69b0d12e1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	Unknown	0.968061258087942
42dc6b2d1f4f065d3dad38d9e808deab	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	uncultured_Prosthecobacter	0.998162242995782
558a8a69f120ca9f0bc4279a633cc57d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84	Unknown	0.999071690660418
e209d3e2503eaf9ba4c9b24ddc3469b7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unknown	0.836373897365491
af756a89d5667f309c5b6c49157b1d03	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84	metagenome	0.885203653259838
b6cbcaff3953d64349c0aa67599867af	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	uncultured_bacterium	0.867691173694926
4ff42b8d5fed50e6135bd756ddf43b9d	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Unknown	0.999999834132947
08c398b135538070b36dc7801d0a2bbe	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unknown	Unknown	0.999999283265824
