ASV,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero
51111c4191d40b8d0f948fd510f9f745,NPK,Rhizosphere,ccamk,-1.9342908137199,FALSE,TRUE
52a477225881378913d0c15900d555d0,NPK,Rhizosphere,ccamk,0.798315297975814,FALSE,TRUE
55bc4a268ec7db5324f806316b57e02a,NPK,Rhizosphere,ccamk,0.788045410361491,FALSE,TRUE
56b6512cee5f8ff6811c2e3426859f5a,NPK,Rhizosphere,ccamk,0.87416817728584,FALSE,TRUE
57758e1cadc22bd3ef27371c96a98d43,NPK,Rhizosphere,ccamk,-0.723588714214725,FALSE,TRUE
57941280bd0da9dd568827071becca47,NPK,Rhizosphere,ccamk,0.693441216166968,FALSE,TRUE
58a80aaf0ee8c8cd39703aae207cb975,NPK,Rhizosphere,ccamk,-1.06113650272356,TRUE,TRUE
58c4e14c01c2277e2e1f18596328f35b,NPK,Rhizosphere,ccamk,2.09638515512673,FALSE,TRUE
5959ba7cbd7d9c36e5ff863ef9fd40d2,NPK,Rhizosphere,ccamk,0.965279747138802,FALSE,TRUE
5c816d35f07575031a9243e5f0bbfbe2,NPK,Rhizosphere,ccamk,0.958514953432008,FALSE,TRUE
5f22bd1c6f4d56508efa47b3cffd0066,NPK,Rhizosphere,ccamk,-0.79149536629731,FALSE,TRUE
619a789919631cdca73e3ffb09156a92,NPK,Rhizosphere,ccamk,-0.781557321316089,FALSE,TRUE
61b0d9820ad18e9383cba2e624f17499,NPK,Rhizosphere,ccamk,1.15583237650544,FALSE,TRUE
643e2279a8af844124da67de163be5ec,NPK,Rhizosphere,ccamk,1.18503008581488,FALSE,TRUE
659871d903aa6707d62aee7cf6e50df9,NPK,Rhizosphere,ccamk,1.181823429707,FALSE,TRUE
671d5e73dcacba54efb21032715c43fa,NPK,Rhizosphere,ccamk,-2.68715660664425,FALSE,TRUE
68a56a2aee15e316ddd8f877f2ef1596,NPK,Rhizosphere,ccamk,-0.913992436177676,FALSE,TRUE
6a0e18979da49439067bdde0a6d0b6dc,NPK,Rhizosphere,ccamk,0.716176962425748,FALSE,TRUE
6a9fb797ebdf5d0d398031058c8932b8,NPK,Rhizosphere,ccamk,-0.883402678022818,FALSE,TRUE
6abf1da511c048180da7210de42c5c19,NPK,Rhizosphere,ccamk,0.794280205686914,FALSE,TRUE
6e95a19399a4a11f849799d0688f18a8,NPK,Rhizosphere,ccamk,1.07978633566743,TRUE,TRUE
6ee7bf43d0c959376801b7e6c8d25585,NPK,Rhizosphere,ccamk,1.46262910134607,FALSE,TRUE
6f1352a46355ce0372749f183d6c503b,NPK,Rhizosphere,ccamk,0.787770083107545,TRUE,TRUE
70bb66ab0f5b20a8587decfc8ee989e5,NPK,Rhizosphere,ccamk,1.0276027560845,FALSE,TRUE
744f5d11738831b2d7280f826b1712cd,NPK,Rhizosphere,ccamk,-0.815234975700489,FALSE,TRUE
76de84ec8ebb595d770b76ecc6d4c6c4,NPK,Rhizosphere,ccamk,0.617427912983783,FALSE,TRUE
7887bc231f268338aa6de1fcf7b6b125,NPK,Rhizosphere,ccamk,1.42692096793369,FALSE,TRUE
7c15d1b2f8c374e54bf380c52ec199e9,NPK,Rhizosphere,ccamk,-1.48508282786989,FALSE,TRUE
