"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot285","LjRoot285",22,0,0,10,0,0,12,0,8,12,0,7,0,0,0,0,21,10,12,0,17,11,14,0,35,10,0,0,14,0,20,0,13,10,0,6,88,9,11,0,14,12,9,12
"LjRoot240","LjRoot240",14,0,2,12,2,9,4,0,13,10,0,8,7,2,0,0,10,5,1,2,6,10,20,7,7,5,0,0,18,5,13,7,11,12,8,7,7,13,9,14,11,11,8,8
"LjRoot248","LjRoot248",7,0,16,18,0,10,11,0,12,12,0,9,4,6,7,4,5,5,0,3,6,4,9,5,18,4,0,8,3,6,19,6,18,6,8,9,8,3,7,5,7,14,2,11
"G35_LjRoot145","G35_LjRoot145",8,0,0,0,0,0,8,0,0,0,3,0,16,5,15,0,10,10,10,28,10,8,20,8,6,0,0,10,8,4,11,7,0,5,1,7,7,10,8,8,5,5,15,0
"LjRoot89","LjRoot89",1,1,8,2,0,10,4,0,8,5,0,4,12,14,7,8,1,8,14,28,2,3,1,2,2,2,0,0,5,6,4,5,19,7,4,14,1,7,2,7,1,6,19,7
"LjRoot1","LjRoot1",9,0,9,7,1,11,8,0,6,11,0,6,5,8,0,3,6,6,5,9,4,10,18,8,5,8,14,5,3,12,2,2,4,9,4,10,9,8,5,6,5,10,9,17
"G30_LjRoot2","G30_LjRoot2",7,2,9,7,0,5,6,0,6,6,0,5,14,3,2,3,6,8,4,5,2,11,8,7,4,3,7,7,12,7,5,11,6,4,4,10,4,10,6,18,2,11,8,6
"LjRoot277","LjRoot277",3,0,14,1,0,13,3,0,11,0,0,8,1,3,0,4,0,5,1,4,4,17,0,6,1,6,0,6,3,9,7,17,8,19,5,21,2,8,1,5,2,13,4,3
"LjRoot152","LjRoot152",1,0,6,0,0,5,0,0,8,1,0,3,6,12,0,8,0,7,9,17,1,12,2,3,0,6,0,0,3,5,0,7,0,5,0,5,2,7,0,4,4,5,19,6
"G33_LjRoot104","G33_LjRoot104",5,0,0,0,0,3,0,1,6,3,7,0,14,1,8,0,10,2,1,1,5,5,8,4,6,0,0,0,11,4,5,0,12,8,2,2,4,2,18,8,4,3,5,1
"G27_LjRoot78","G27_LjRoot78",5,0,8,1,0,10,4,0,11,3,0,8,0,0,0,10,0,6,0,2,0,12,2,5,0,3,0,7,1,18,0,7,0,12,1,7,1,9,0,15,1,13,3,7
