Number	Nodule_type	Genotype
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	ccamk
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
