ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_rhizo,Lj_Gifu_LjSC_2_rhizo,Lj_Gifu_LjSC_3_rhizo,Lj_Gifu_LjSC_4_rhizo,Lj_symrk_LjSC_1_rhizo,Lj_symrk_LjSC_2_rhizo,Lj_symrk_LjSC_3_rhizo,Lj_symrk_LjSC_4_rhizo,Lj_ccamk_LjSC_1_rhizo,Lj_ccamk_LjSC_2_rhizo,Lj_ccamk_LjSC_3_rhizo,Lj_ccamk_LjSC_4_rhizo,Lj_nsp1_LjSC_1_rhizo,Lj_nsp1_LjSC_2_rhizo,Lj_nsp1_LjSC_3_rhizo,Lj_nsp1_LjSC_4_rhizo,Lj_nsp2_LjSC_1_rhizo,Lj_nsp2_LjSC_2_rhizo,Lj_nsp2_LjSC_3_rhizo,Lj_nsp2_LjSC_4_rhizo
G7_LjRoot117,0.827058513478396,0.989545858810038,1.90486021193439,0.690225605276748,1,1,1,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.00143567423795923,0.00183789744532255,0.00171195515348853,0.00232187648295031,0.00260788574976715,0.0032214598788855,0.00434273109533329,0.00284762065474182,0.00384034248300176,0.00389304374551788,0.00213598720794253,0.00510484702646958,0.00933782862338056,0.00638773970285952,0.00635199843643115,0.00544118244203516,0.00318970235735991,0.00287366643916807,0.00372847899989034,0.00208019910477146
G8_LjRoot126,-1.18074315037631,-1.03608329735743,-0.684416212735711,-0.332067477933144,-1,-1,-1,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.0531501715252905,0.0676063506425572,0.0648025377217569,0.0696901904955596,0.0259701955914312,0.0306813077888085,0.0297959605707589,0.0258817077286534,0.0241123142785193,0.0430283782399344,0.0300231498054939,0.0294602956342386,0.0343397227062656,0.0419691411026982,0.037037037037037,0.0455597514922646,0.0526395258856614,0.0499658752110349,0.0496033921848156,0.0495347411823703
G9_LjRoot131,-0.277259897152349,-0.0145624492693616,-0.277259897152349,-0.0272598971523494,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,0.00136011243596137,0,0,0,0,0,0,0,0,0,0,0.00130629082158817,0,0,0,0,0,0,0.00126110319113938,0
LjRoot1,0.367576034002998,-0.453890221718738,-0.344724573254181,-0.0773862211691022,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,0.00152634840035665,0.00159755701016499,0.00114130343565902,0.00135584028201478,0.00170754424091897,0.00164170551520126,0.00196456882884125,0.00189841376982788,0.00136405607319735,0.000580541611173719,0.00143194673158159,0.000945342041938811,0.00164785211000833,0.00100174329352379,0.000801329033519007,0.00109635765623097,0.00156654021101108,0.00107762491468803,0.00126110319113938,0.00143013688453038
LjRoot10,-0.268438395486355,0.614676518593447,-0.291877475192745,-0.32350089264685,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,0.00343050581070257,0.00395854834377165,0.00412883301723704,0.00338960070503695,0.00284073269171065,0.0044140195455883,0.00367064175915076,0.00196169422882214,0.00514144212205154,0.00413209029129529,0.00637216295553805,0.00771742866964593,0.00272747935449655,0.00283610438945698,0.00240398710055702,0.00454785398140253,0.00213275956438858,0.0038076080318977,0.00259531381364916,0.00367749484593525
LjRoot100,0.249999999999998,0.681424033433654,0.437272421874303,-2.13925097495664e-15,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0,0,0,0,0,6.19511515170288e-05,0,0,0,0.000204897039237783,0,0,0,0.000104077225301173,0,0,0,0,0,0
LjRoot11,-0.538762595639031,-0.56865790234162,-0.738677010628773,-0.689172944732142,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.00383853954149099,0.00374648325392674,0.00364210066967658,0.00272862856755474,0.00243713132567526,0.00233865596976784,0.00303301854277246,0.00185622679716504,0.00289599597078822,0.00163917631390226,0.00152740984702036,0.00407356479889997,0.00267065686794454,0.00210756381234876,0.00244307632170429,0.00133999269094896,0.001585414189457,0.00323287474406408,0.00188251635778777,0.00219163834252707
LjRoot122,-0.160593258123623,1.65623633624912,0.0567465109927927,0.276403343382544,0,1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0.00952078705172961,0.0123987389195991,0.00760309494637552,0.00808419768151312,0.00810307357963365,0.00893645360633141,0.00997794168332529,0.00643351333108336,0.0337026777469991,0.0103131509749684,0.050153934273645,0.0410794087315229,0.00922418365027654,0.0112273306793641,0.00897097625329815,0.00913631380192472,0.016061755657475,0.00714824526743058,0.00855356947033666,0.0158986645864676
LjRoot149,-0.299252058648013,-0.192250481238535,-0.367105766863989,-0.422787817663676,0,0,0,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.198259056081969,0.140881908020302,0.146842114096776,0.136465324384788,0.154625892579944,0.144439109761953,0.103415592472599,0.10569946000675,0.126101737597582,0.162380903595943,0.149459440108828,0.107322103815744,0.098814304113948,0.110308849166081,0.132786084237272,0.139684086571649,0.137496932978503,0.132978914472503,0.119475819717074,0.079344737281997
LjRoot152,-0.149887558402809,0.289951218065033,-0.415050505671478,-0.32155935204666,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.000891629263574678,0.00145618028360171,0.00161125190916567,0.000982984204460715,0.00170754424091897,0.000356219121222916,0.00170607293030951,0.00130779615254809,0.00207756232686981,0.00109278420926818,0.000823369370659412,0.00245788930904091,0.00310629593150996,0.000871646761897328,0.00134857812958077,0,0.000736085159390748,0.00100578325370883,0.00100522718134298,0.00113296558384874
