Feature,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
8f888938a59952c39793443b306e2e72,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Unknown,0.9999908869315
42b54bfdc66773d14e4abbd2426da8e4,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,Unknown,0.794482208141819
4e71a4c54f6b213a69fd9cd5cd1053d2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.991656699164038
687611358676490ccc85a9c2a1c5e609,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Unknown,Unknown,0.999999276364941
8e266d1c2502a685ae0b74a34f0d3d4a,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.999729613398888
e99f26f096400559f179bcd5827b48f0,Bacteria,Proteobacteria,Alphaproteobacteria,Unknown,Unknown,Unknown,Unknown,0.999161786371225
4220f825b744d4188d9acad58b863237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unknown,0.999961301934338
7f90d698d471fd24bddf730b6d93b289,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,Unknown,0.999656601156141
4897be5d7a82aa01d55668f4eb3996c1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999985009531682
0f550841d33d078d8af5165c2c95b0ba,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Unknown,0.90929123791898
62919d6e7f842c459ebfcf186c1359b6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unknown,0.997766385026034
a953ee38680011690c6684dc94f49ec7,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_Myxococcales,0.997721470909613
9cc2a63e28a89c733e10c8c93aa3c9d0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira,Unknown,0.999885982124883
ca6348fcc8eee87613fa44ddc810c8d2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Unknown,0.999974159253509
a76c50d84350383765fc362c1b2e8aae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Unknown,0.771905842344585
e3ec021309532068e30618f60ce2edf9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999999980267413
6829bd06e6ee658a836f5327c8c11719,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.995874846222378
0d5fdc530c86f2e471d32e5e8c9d9526,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unknown,0.999993761217378
aaad1db0cf127287ffc7759195cc591f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Unknown,0.954429828713775
0d6d5832d1a9fff88261381fa52e8761,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unknown,Unknown,0.99999999980861
