Soil_type	Genotype	pink	white	total
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
PK	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
