"","Fresh_weight","Genotype","Treatment","Host"
"315",0.0213,"nsp1","Lj_SC","Lotus"
"316",0.0207,"nsp1","Lj_SC","Lotus"
"317",0.0166,"nsp1","Lj_SC","Lotus"
"318",0.0304,"nsp1","Lj_SC","Lotus"
"319",0.0299,"nsp1","Lj_SC","Lotus"
"320",0.0151,"nsp1","Lj_SC","Lotus"
"321",0.0237,"nsp1","Lj_SC","Lotus"
"322",0.018,"nsp1","Lj_SC","Lotus"
"323",0.0259,"nsp1","Lj_SC","Lotus"
"324",0.0166,"nsp1","Lj_SC","Lotus"
"325",0.0148,"nsp1","Lj_SC","Lotus"
"326",0.0186,"nsp1","Lj_SC","Lotus"
"327",0.0097,"nsp1","Lj_SC","Lotus"
"328",0.0211,"nsp1","Lj_SC","Lotus"
"329",0.0123,"nsp1","Lj_SC","Lotus"
"330",0.0136,"nsp1","Lj_SC","Lotus"
"331",0.0377,"nsp1","Lj_SC","Lotus"
"332",0.0124,"nsp1","Lj_SC","Lotus"
"333",0.0192,"nsp1","Lj_SC","Lotus"
"334",0.0176,"nsp1","Lj_SC","Lotus"
"335",0.0248,"nsp1","Lj_SC","Lotus"
"336",0.016,"nsp1","Lj_SC","Lotus"
"337",0.0144,"nsp1","Lj_SC","Lotus"
"338",0.0322,"nsp1","Lj_SC","Lotus"
"339",0.0241,"nsp1","Lj_SC","Lotus"
"340",0.0176,"nsp1","Lj_SC","Lotus"
"341",0.0274,"nsp1","Lj_SC","Lotus"
"342",0.0305,"nsp1","Lj_SC","Lotus"
"343",0.0214,"nsp1","Lj_SC","Lotus"
"344",0.0151,"nsp1","Lj_SC","Lotus"
"345",0.0144,"nsp1","Lj_SC","Lotus"
"346",0.0128,"nsp1","Lj_SC","Lotus"
"347",0.0188,"nsp1","Lj_SC","Lotus"
"348",0.0228,"nsp1","Lj_SC","Lotus"
"349",0.0261,"nsp1","Lj_SC","Lotus"
"350",0.0268,"nsp1","Lj_SC","Lotus"
"351",0.0192,"nsp1","Lj_SC","Lotus"
"352",0.034,"nsp1","Lj_SC","Lotus"
"353",0.028,"nsp1","Lj_SC","Lotus"
"354",0.0167,"nsp1","Lj_SC","Lotus"
"355",0.0235,"nsp1","Lj_SC","Lotus"
"356",0.0196,"nsp1","Lj_SC","Lotus"
"357",0.0204,"nsp1","Lj_SC","Lotus"
"358",0.0206,"nsp1","Lj_SC","Lotus"
"359",0.0137,"nsp1","Lj_SC","Lotus"
"360",0.0151,"nsp1","Lj_SC","Lotus"
"361",0.0121,"nsp1","Lj_SC","Lotus"
"362",0.0275,"nsp1","Lj_SC","Lotus"
"363",0.0319,"nsp1","Lj_SC","Lotus"
"364",0.0261,"nsp1","Lj_SC","Lotus"
"365",0.0187,"nsp1","Lj_SC","Lotus"
"366",0.0234,"nsp1","Lj_SC","Lotus"
"367",0.0162,"nsp1","Lj_SC","Lotus"
"368",0.033,"nsp1","Lj_SC","Lotus"
"369",0.0109,"nsp1","Lj_SC","Lotus"
"370",0.0205,"nsp1","Lj_SC","Lotus"
"371",0.0192,"nsp1","Lj_SC","Lotus"
"372",0.0196,"nsp1","Lj_SC","Lotus"
"373",0.0274,"nsp1","Lj_SC","Lotus"
"374",0.0181,"nsp1","Lj_SC","Lotus"
"375",0.0282,"nsp1","Lj_SC","Lotus"
"376",0.0209,"nsp1","Lj_SC","Lotus"
"377",0.0252,"nsp1","Lj_SC","Lotus"
"378",0.0236,"nsp1","Lj_SC","Lotus"
"379",0.0195,"nsp1","Lj_SC","Lotus"
"380",0.0168,"nsp1","Lj_SC","Lotus"
"381",0.0231,"nsp1","Lj_SC","Lotus"
"382",0.0229,"nsp1","Lj_SC","Lotus"
"383",0.0258,"nsp1","Lj_SC","Lotus"
"384",0.0169,"nsp1","Lj_SC","Lotus"
"385",0.0389,"nsp1","Lj_SC","Lotus"
"386",0.0321,"nsp1","Lj_SC","Lotus"
"387",0.0163,"nsp1","Lj_SC","Lotus"
"388",0.0222,"nsp1","Lj_SC","Lotus"
"389",0.0239,"nsp2","Lj_SC","Lotus"
