"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","Kingdom","Phylum","Class","Order","Family","Genus","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6"
"47","P4_D3",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",3.19144182958977e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","P4_D7",0.204174090490321,1.24265856246982,-0.454891074697233,0.240353344174548,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.00163401821674996,0.00125917327404726,0.00111982082866741,0.000234129373202221,0.00379779317423659,0.000622219091560126,0.000911596813752089,0.00105235464351486,0.00116469903118217,0.00810727451642751,0.000980562716475035,0.0012792757331234,0.00894433602825016,0.0107055264147228,0.00241122314774222,0.00114599184654981,0.00122566901100184,0.000420914788139557,0.000565554409661,0.000627844922304191,0.00303094681679768,0.00205631361720253,0.00038285701416571,0.00076789036888272,0.00364500276629674,0.000289205408141132,0.00624578746349135,0.00136395267919276,0.000931705953601044
"49","P4_D8",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95342449570277e-05,0,5.42260140264623e-05,0,0,0
"50","P4_E4",-0.0662042532754559,-0.232870919942123,0.114909366011752,0.384895075163003,0,0,0,0,"Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus",7.0211720250975e-05,0,0,0,0,0,0,6.26401573520753e-05,0,0,0,0,0,0,0,0,0,0,0.000133071625802588,0,0,0,0,8.8602734871083e-05,0,0.000144602704070566,0,0,0
"51","P4_E5",0.0826983042440362,-0.875238496781512,-0.67490690139861,-0.101622656560813,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.00573182952594323,0.00928640289609853,0.00774276115821469,0.00946551608803264,0.0044136515268155,0.0108712241280128,0.00392854817355067,0.00809310832988813,0.00606172904865265,0.00985503840674431,0.00827152097929747,0.00195405853740827,0.00355450236966825,0.00660591847329884,0.0068500657606313,0.0033628285333183,0.00300580733650451,0.00495744083808811,0.00545593665790612,0.00426037625849272,0.00363996884073366,0.00418606700644801,0.00416638515415625,0.00528662984730795,0.0051420574738829,0.0108994288193189,0.00458323972141092,0.00940848990953375,0.00621137302400696
"52","P4_F10",0.205635829301503,-1.05637181101395,0.181235423030368,1.31242977279424,0,0,0,0,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Arthrobacter",0.00106594157108298,0.00570562889802664,0.00447928331466965,0.000702388119606663,0.000872465999486785,0.00314631540637951,0.000933301499793806,0.00548727778404179,0.00186616549314416,0.00204150572062215,0.00112290246564077,0.000801304580088284,0.00418176749372735,0.000554968760629442,0.000657606313020605,0.000507242292735163,0.000583651910000875,0.0011692077448321,0.00560564223693403,0.00163688140457878,0.00416401104737625,0.00091065317333255,0.00153142805666284,0.00821052009805369,0.00247339473427279,0.00815197744197817,0.00260615592001797,0.0088517745302714,0.00180129817696202
"53","P4_F5",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","P4_G1",-0.485764817873421,-1.02008387661011,-0.50034060702072,0.301223717210087,0,-1,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Nitrobacteraceae","Tardiphaga",0.00372122117330167,0.00602042221653845,0.00348744200927852,0.00458224630410061,0.00200153964588145,0.00265323612627526,0.00180148894146246,0.00319464802495584,0.00221028111599344,0.0035836503297252,0.00292587262174002,0.00112463800714145,0.00209088374686367,0.00252421274995972,0.00238382288469969,0.00152172687820549,0.00178013832550267,0.00194088485642129,0.00384244319504974,0.00186111173397314,0.00348417250902911,0.00240882452300868,0.00286016710582618,0.00440060249859712,0.00393790477430273,0.00858578555418986,0.00283082453381263,0.00590118302018093,0.00375788067952421
"55","P4_G10",-0.0931293508784531,-0.221841011136335,-0.388507677803002,0.185536806019512,0,0,0,0,"Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",4.46801856142568e-05,0,0,0,0,0,0,0,3.97056487903012e-05,0,0,0,2.32320416318186e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000126527366061745,0,0,0
"56","P4_G3",-2.02418729899664,-3.70074324095928,-2.65349019389485,-1.85650816669609,-1,-1,-1,-1,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.00624884310233677,0.0106636236645877,0.00543912973924172,0.00528463442370727,0.00656915576084167,0.00349851489216826,0.000889892127710373,0.00206712519261848,0.00119116946370904,0.00164495424970993,0.00145502854702747,0.000477971153035117,0.00113837003995911,0.000447555452120518,0.000246602367382727,0.000338161528490109,0.000846295269501269,0.00151997006828173,0.00181310090156026,0.000650267955243626,0.002379434884215,0.000734397720429476,0.000427899015832264,0.00147671224785138,0.00178995671559215,0.00455498517822283,0.00139294540552685,0.00228253305497564,0.000962762818721078
