"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","kingdom","phylum","class","order","family","genus","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_4_endo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_4_endo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_4_endo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_4_endo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_4_endo"
"21","G34_LjRoot233",-1.5603972963841,-0.764788604591813,-1.69736855834329,-1.67801339824672,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",0.000257397102444047,0.000515408568667454,0.000187978758400301,0.000292318762367332,0,0,0.000265158211065936,0.000113211819313936,0.000810983027283786,0,0.000336315329252707,0,0,0.000362748180213296,0,0,0.000382580924182441,0,0,0
"22","G35_LjRoot145",1.17811238488958,2.10152570324343,0.832623538404874,0.447556380971239,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",0.00107861642928934,0,0.00183279289440293,0,0.00135416490343112,0.00138551257667553,0.00126265814793303,0.00206868869837284,0.00417076985460233,0.00361524978089395,0.00181610277796462,0.00231635190018068,0.00139599813866915,0.00336146646997654,0.00130381027312577,0,0.00202934229348947,0.00168421950283546,0,0.000615014746376305
"23","G36_LjRoot142",-0.870302772072184,-1.87971899848588,-1.17268396221204,-0.706409116644625,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",0.00343196136592062,0.00240523998711479,0.00192678227360308,0.00254092462673143,0.00138801902601689,0.000869094252641921,0.00119952524053638,0.00250095200848059,0,0,0.00206833927490415,0.00129715706410118,0.00120344667126651,0.00280525259364949,0.00161852309767337,0,0.00202934229348947,0.00174817720547478,0.0028042063094642,0.000573081922759739
"24","G37_LjNodule209",-7.28769110359063,-7.58578090610772,-6.68741084447657,-7.91624926024261,-1,-1,-1,-1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",0.0288407324786115,0.155481584881349,0.366511584190986,0.389840798704803,0,0.00165001952313176,0.00268946185509735,0,0.000984765104558883,0.00197195442594216,0,0,0,0.00125752702473943,0.00175340002247949,0.00519584332533973,0,0.00157762333176992,0,0
"25","G4_LjRoot26",0.951523184493947,1.11208764525237,0.909862711543951,1.32584092952252,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudorhodoferax",0.0027455690927365,0.00173950391925266,0.00399454861600639,0.00215866162978953,0.00313150633918445,0.00381645737029713,0.00349756306977449,0.0137809660055783,0.0060823727046284,0.00487510955302366,0.00455707271137418,0.00665565112651914,0.00239084738691613,0.00614253585161181,0.00413622569405418,0.00839328537170264,0.00660367943045344,0.00528717008485055,0.00787848439325655,0.00591252812993584
"26","G5_LjRoot105",0.327327215198074,Inf,-2.72984804154962e-15,-2.7869141141637e-15,0,1,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0,0,0,0,0,0,0,0.0057017588999928,0.00460522504779007,0,0,0.00633136186049385,0,0,0,0,0,0,0,0
"27","G6_LjRoot130",0.160904624670272,0.875793185270506,0.456073647647743,0.475892372693931,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",0.00433897972691393,0.00392999033608934,0.00507542647680812,0.00415992084907357,0.00511197251045246,0.00555464587558097,0.00410363898078234,0.00482694029620329,0.00593755430689915,0.0078330411919369,0.010375327907446,0.00846240560866007,0.00372266170311773,0.00645691760779667,0.00517028211756772,0.0101918465227818,0.00808410126750724,0.00607598175073551,0.00791186780170255,0.00346644675230281
"28","G7_LjRoot117",0.114953838980678,1.84554775885203,2.15587647291344,0.248418786911074,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.00140955556100311,0.0012240953505852,0.00108087786080173,0.00132667745997482,0.000710936574301336,0.000617182875064552,0.00202025303669285,0.00383890987309984,0.00892081330012165,0.00180762489044698,0.00418712584919621,0.00611516901647698,0.00986826270438536,0.00962491838165945,0.00319208722041137,0.00319744204636291,0.00435809574503476,0.00087408860273739,0.00257052245034218,0.000503193883398795
"29","G8_LjRoot126",-1.31816600181654,-0.76843426143691,-0.724422990318356,-0.91463688741659,-1,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",0.0282523962444537,0.0338451626758295,0.021876028008835,0.0187983450260838,0.00834504121739425,0.00515158767145718,0.0104169297204475,0.0227144077478052,0.0131784741933615,0.0176928133216477,0.0126959036792897,0.015782077613231,0.00866481603311885,0.0164204009576552,0.0182533438237608,0.0201838529176659,0.0145547090721581,0.0150087408860274,0.0178935069270573,0.00796723648714759
"30","G9_LjRoot131",-0.101613859432911,1.93316481672415,0.464418055354994,-0.132492563664264,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",0.00120118647807222,0,0,0,0,0,0,0.000905694554511491,0.0028674042750391,0,0.0027577856998722,0.00559012925243603,0.000994849248246979,0,0.00182083848488254,0,0.000831697661266177,0,0,0
