"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"nsp2-WT",-0.000272338549754749,-0.00078932941519938,0.000244652315689882,0.540663465444293,"Rhodobacterales","Root"
"ccamk-symrk",-0.000204735220488617,-0.000697666669671775,0.00028819622869454,0.738045495147893,"Rhodobacterales","Root"
"nsp1-symrk",-3.2090139779951e-05,-0.000525021588963109,0.000460841309403207,0.999674493847313,"Rhodobacterales","Root"
"nsp2-symrk",-1.92060827424834e-05,-0.000512137531925641,0.000473725366440674,0.999957695007433,"Rhodobacterales","Root"
"nsp1-ccamk",0.000172645080708666,-0.000320286368474491,0.000665576529891824,0.838169445147079,"Rhodobacterales","Root"
"nsp2-ccamk",0.000185529137746134,-0.000307402311437024,0.000678460586929292,0.80029122048925,"Rhodobacterales","Root"
"nsp2-nsp1",1.28840570374676e-05,-0.00048004739214569,0.000505815506220625,0.999991398814934,"Rhodobacterales","Root"
"symrk-WT",0.000400084294821582,-0.00152768012527731,0.00232784871492048,0.971880775554081,"Rhodospirillales","Root"
"ccamk-WT",-0.000126618908579131,-0.00205438332867803,0.00180114551151976,0.999662835311215,"Rhodospirillales","Root"
"nsp1-WT",-0.000489347411841995,-0.00241711183194089,0.0014384170082569,0.942775272472952,"Rhodospirillales","Root"
"nsp2-WT",0.00138404437543453,-0.00054372004466436,0.00331180879553343,0.24639799322737,"Rhodospirillales","Root"
"ccamk-symrk",-0.000526703203400713,-0.00236475445884373,0.00131134805204231,0.91395409534571,"Rhodospirillales","Root"
"nsp1-symrk",-0.000889431706663577,-0.0027274829621066,0.000948619548779443,0.617905818791441,"Rhodospirillales","Root"
"nsp2-symrk",0.000983960080612953,-0.000854091174830067,0.00282201133605597,0.525398580228801,"Rhodospirillales","Root"
"nsp1-ccamk",-0.000362728503262865,-0.00220077975870588,0.00147532275218016,0.97657938419455,"Rhodospirillales","Root"
"nsp2-ccamk",0.00151066328401367,-0.000327387971429355,0.00334871453945669,0.143875730015059,"Rhodospirillales","Root"
"nsp2-nsp1",0.00187339178727653,3.53405318335098e-05,0.00371144304271955,0.0442471247649117,"Rhodospirillales","Root"
"symrk-WT",0.0849906813953961,-0.0499799954453852,0.219961358236177,0.367240636826363,"Sphingobacteriales","Root"
"ccamk-WT",-0.105566462761726,-0.240537139602508,0.0294042140790549,0.178139968155954,"Sphingobacteriales","Root"
"nsp1-WT",0.003415445933662,-0.131555230907119,0.138386122774443,0.999992441882741,"Sphingobacteriales","Root"
"nsp2-WT",-0.117616238259819,-0.252586915100601,0.0173544385809619,0.108883743696426,"Sphingobacteriales","Root"
"ccamk-symrk",-0.190557144157122,-0.319246635169964,-0.061867653144281,0.00179225194716526,"Sphingobacteriales","Root"
"nsp1-symrk",-0.0815752354617341,-0.210264726474575,0.0471142555511073,0.360822427512664,"Sphingobacteriales","Root"
"nsp2-symrk",-0.202606919655215,-0.331296410668057,-0.0739174286423741,0.00090480918209479,"Sphingobacteriales","Root"
"nsp1-ccamk",0.108981908695388,-0.0197075823174531,0.23767139970823,0.12522213582129,"Sphingobacteriales","Root"
"nsp2-ccamk",-0.0120497754980931,-0.140739266510934,0.116639715514748,0.998636247491342,"Sphingobacteriales","Root"
"nsp2-nsp1",-0.121031684193481,-0.249721175206323,0.00765780681935999,0.0723273571447991,"Sphingobacteriales","Root"
"symrk-WT",-0.00527190479034118,-0.00760587992042742,-0.00293792966025495,6.48542628234328e-06,"Sphingomonadales","Root"
"ccamk-WT",-0.0065920759018626,-0.00892605103194884,-0.00425810077177637,1.48290328350065e-07,"Sphingomonadales","Root"
"nsp1-WT",-0.00589543100918394,-0.00822940613927017,-0.0035614558790977,1.04284075808092e-06,"Sphingomonadales","Root"
"nsp2-WT",-0.00502296093415601,-0.00735693606424224,-0.00268898580406978,1.37220407058214e-05,"Sphingomonadales","Root"
"ccamk-symrk",-0.00132017111152142,-0.00354552908228826,0.000905186859245415,0.425507073944771,"Sphingomonadales","Root"
"nsp1-symrk",-0.000623526218842752,-0.00284888418960959,0.00160183175192408,0.92011142073257,"Sphingomonadales","Root"
"nsp2-symrk",0.000248943856185175,-0.00197641411458166,0.00247430182695201,0.997269758216796,"Sphingomonadales","Root"
"nsp1-ccamk",0.000696644892678668,-0.00152871307808817,0.0029220028634455,0.885489124807715,"Sphingomonadales","Root"
"nsp2-ccamk",0.00156911496770659,-0.000656243003060241,0.00379447293847343,0.262057906962907,"Sphingomonadales","Root"
